"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","3.088","3.023","3.107","3.003","1.21%"
"Feb 14, 2023","3.051","2.961","3.063","2.922","2.59%"
"Feb 13, 2023","2.974","3.001","3.028","2.949","-0.34%"
"Feb 10, 2023","2.984","2.987","3.004","2.928","1.63%"
"Feb 09, 2023","2.936","2.956","2.966","2.871","-1.48%"
"Feb 08, 2023","2.980","2.986","3.026","2.951","0.47%"
"Feb 07, 2023","2.966","2.922","2.971","2.913","1.19%"
"Feb 06, 2023","2.931","2.871","2.950","2.852","3.42%"
"Feb 03, 2023","2.834","2.725","2.869","2.701","4.77%"
"Feb 02, 2023","2.705","2.887","2.922","2.662","-7.43%"
"Feb 01, 2023","2.922","2.890","2.946","2.868","0.31%"
"Jan 31, 2023","2.913","2.941","2.964","2.897","0.48%"
"Jan 30, 2023","2.899","2.790","2.913","2.769","3.31%"
"Jan 27, 2023","2.806","2.820","2.865","2.804","0.61%"
"Jan 26, 2023","2.789","2.735","2.795","2.703","2.39%"
"Jan 25, 2023","2.724","2.713","2.737","2.639","0.67%"
"Jan 24, 2023","2.706","2.771","2.800","2.704","-2.45%"
"Jan 23, 2023","2.774","2.750","2.785","2.708","1.61%"
"Jan 20, 2023","2.730","2.623","2.746","2.615","4.96%"
"Jan 19, 2023","2.601","2.561","2.656","2.526","1.25%"
"Jan 18, 2023","2.569","2.613","2.676","2.495","-3.17%"
"Jan 17, 2023","2.653","2.779","2.796","2.628","-3.74%"
"Jan 16, 2023","2.756","2.744","2.819","2.731","0.15%"
"Jan 13, 2023","2.752","2.730","2.754","2.668","0.00%"
"Jan 12, 2023","2.752","2.776","2.803","2.676","-1.64%"
"Jan 11, 2023","2.798","2.882","2.896","2.781","-3.98%"
"Jan 10, 2023","2.914","2.862","2.935","2.862","2.17%"
"Jan 09, 2023","2.852","2.861","2.910","2.820","0.78%"
"Jan 06, 2023","2.830","2.908","2.968","2.806","-3.77%"
"Jan 05, 2023","2.941","2.878","2.976","2.877","2.26%"
"Jan 04, 2023","2.876","3.016","3.018","2.872","-5.80%"
"Jan 03, 2023","3.053","3.062","3.126","2.977","-0.84%"
"Jan 02, 2023","3.079","3.178","3.180","3.052","-3.87%"
"Dec 30, 2022","3.203","3.078","3.212","3.078","3.62%"
"Dec 29, 2022","3.091","3.148","3.162","3.081","-1.72%"
"Dec 28, 2022","3.145","3.128","3.163","3.088","-0.35%"
"Dec 27, 2022","3.156","3.050","3.170","3.041","5.09%"
"Dec 23, 2022","3.003","2.985","3.050","2.970","0.91%"
"Dec 22, 2022","2.976","2.915","3.024","2.901","0.95%"
"Dec 21, 2022","2.948","2.941","2.960","2.885","0.31%"
"Dec 20, 2022","2.939","2.913","2.960","2.878","3.16%"
