"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","5.271","5.271","5.271","5.271","-5.88%"
"Feb 14, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 13, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 10, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 09, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 08, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 07, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 06, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 03, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 02, 2023","5.600","5.600","5.600","5.600","0.00%"
"Feb 01, 2023","5.600","5.600","5.600","5.600","0.00%"
"Jan 31, 2023","5.600","5.600","5.600","5.600","0.00%"
"Jan 27, 2023","5.600","5.600","5.600","5.600","0.00%"
"Jan 26, 2023","5.600","5.600","5.600","5.600","0.00%"
"Jan 25, 2023","5.600","5.600","5.600","5.600","0.00%"
"Jan 24, 2023","5.600","5.600","5.600","5.600","0.00%"
"Jan 23, 2023","5.600","5.600","5.600","5.600","0.00%"
"Jan 20, 2023","5.600","5.600","5.600","5.600","0.00%"
"Jan 19, 2023","5.600","5.600","5.600","5.600","-3.45%"
"Jan 18, 2023","5.800","5.800","5.800","5.800","0.00%"
"Jan 17, 2023","5.800","5.800","5.800","5.800","0.00%"
"Jan 16, 2023","5.800","5.800","5.800","5.800","0.00%"
"Jan 13, 2023","5.800","5.800","5.800","5.800","0.00%"
"Jan 12, 2023","5.800","5.800","5.800","5.800","0.00%"
"Jan 11, 2023","5.800","5.800","5.800","5.800","0.00%"
"Jan 10, 2023","5.800","5.800","5.800","5.800","0.00%"
"Jan 09, 2023","5.800","5.800","5.800","5.800","-3.33%"
"Jan 06, 2023","6.000","6.000","6.000","6.000","0.00%"
"Jan 05, 2023","6.000","6.000","6.000","6.000","0.00%"
"Jan 04, 2023","6.000","6.000","6.000","6.000","0.00%"
"Jan 03, 2023","6.000","6.000","6.000","6.000","0.00%"
"Dec 30, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 29, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 23, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 21, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 20, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 19, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 16, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 15, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 14, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 13, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 12, 2022","6.000","6.000","6.000","6.000","5.62%"
"Dec 10, 2022","5.681","5.681","5.681","5.681","-5.32%"
"Dec 09, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 08, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 07, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 06, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 05, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 02, 2022","6.000","6.000","6.000","6.000","0.00%"
"Dec 01, 2022","6.000","6.000","6.000","6.000","0.00%"
"Nov 30, 2022","6.000","6.000","6.000","6.000","0.00%"
"Nov 28, 2022","6.000","6.000","6.000","6.000","0.00%"
"Nov 25, 2022","6.000","6.000","6.000","6.000","0.00%"
"Nov 24, 2022","6.000","6.000","6.000","6.000","0.00%"
"Nov 23, 2022","6.000","6.000","6.000","6.000","0.00%"
"Nov 22, 2022","6.000","6.000","6.000","6.000","-3.23%"
"Nov 21, 2022","6.200","6.200","6.200","6.200","0.00%"
"Nov 18, 2022","6.200","6.200","6.200","6.200","0.00%"
"Nov 17, 2022","6.200","6.200","6.200","6.200","0.00%"
"Nov 16, 2022","6.200","6.200","6.200","6.200","0.00%"
"Nov 15, 2022","6.200","6.200","6.200","6.200","0.00%"
"Nov 08, 2022","6.200","6.200","6.200","6.200","0.00%"
"Nov 07, 2022","6.200","6.200","6.200","6.200","0.00%"
"Nov 04, 2022","6.200","6.200","6.200","6.200","0.00%"
"Nov 03, 2022","6.200","6.200","6.200","6.200","24.00%"
"Oct 13, 2022","5.000","5.000","5.000","5.000","0.00%"
"Oct 11, 2022","5.000","5.000","5.000","5.000","0.00%"
"Oct 10, 2022","5.000","5.000","5.000","5.000","0.00%"
"Oct 07, 2022","5.000","5.000","5.000","5.000","0.00%"
"Oct 06, 2022","5.000","5.000","5.000","5.000","0.00%"
"Oct 04, 2022","5.000","5.000","5.000","5.000","0.00%"
"Oct 03, 2022","5.000","5.000","5.000","5.000","66.67%"
"Sep 28, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 27, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 23, 2022","3.000","3.000","3.000","3.000","14.61%"
"Sep 22, 2022","2.618","2.618","2.618","2.618","-12.75%"
"Sep 21, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 20, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 16, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 14, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 12, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 09, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 08, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 07, 2022","3.000","3.000","3.000","3.000","14.61%"
"Sep 06, 2022","2.618","2.618","2.618","2.618","-12.75%"
"Sep 05, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 02, 2022","3.000","3.000","3.000","3.000","0.00%"
"Sep 01, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 31, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 30, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 29, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 26, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 24, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 23, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 19, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 18, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 17, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 16, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 15, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 12, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 10, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 08, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 05, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 04, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 03, 2022","3.000","3.000","3.000","3.000","0.00%"
"Aug 02, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 29, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 28, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 27, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 26, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 25, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 22, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 21, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 20, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 19, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 18, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 15, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 14, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 13, 2022","3.000","3.000","3.000","3.000","0.00%"
"Jul 12, 2022","3.000","2.900","3.000","2.900","3.45%"
"Jul 11, 2022","2.900","2.900","2.900","2.900","0.00%"
"Jul 08, 2022","2.900","2.900","2.900","2.900","0.00%"
