"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","3.784","3.784","3.784","3.784","0.00%"
"Feb 14, 2023","3.784","3.800","3.800","3.784","-2.27%"
"Feb 13, 2023","3.872","3.844","3.872","3.844","2.43%"
"Feb 11, 2023","3.780","3.780","3.780","3.780","-1.66%"
"Feb 10, 2023","3.844","3.806","3.844","3.806","2.53%"
"Feb 09, 2023","3.749","3.749","3.749","3.749","0.00%"
"Feb 08, 2023","3.749","3.749","3.749","3.749","0.21%"
"Feb 07, 2023","3.741","3.741","3.741","3.741","0.03%"
"Feb 06, 2023","3.740","3.740","3.740","3.740","0.00%"
"Feb 03, 2023","3.740","3.740","3.740","3.740","0.00%"
"Feb 02, 2023","3.740","3.740","3.740","3.740","0.00%"
"Feb 01, 2023","3.740","3.740","3.740","3.740","0.00%"
"Jan 31, 2023","3.740","3.740","3.740","3.740","3.80%"
"Jan 30, 2023","3.603","3.603","3.603","3.603","-1.11%"
"Jan 29, 2023","3.644","3.644","3.644","3.644","0.00%"
"Jan 28, 2023","3.644","3.644","3.644","3.644","-1.42%"
"Jan 27, 2023","3.696","3.696","3.696","3.696","1.32%"
"Jan 26, 2023","3.648","3.648","3.648","3.648","1.90%"
"Jan 25, 2023","3.580","3.580","3.580","3.580","-1.81%"
"Jan 24, 2023","3.646","3.646","3.646","3.646","0.03%"
"Jan 23, 2023","3.645","3.645","3.645","3.645","0.00%"
"Jan 20, 2023","3.645","3.645","3.645","3.645","-0.60%"
"Jan 19, 2023","3.667","3.667","3.667","3.667","0.03%"
"Jan 18, 2023","3.666","3.666","3.666","3.666","-1.21%"
"Jan 17, 2023","3.711","3.711","3.711","3.711","0.03%"
"Jan 16, 2023","3.710","3.710","3.710","3.710","0.00%"
"Jan 13, 2023","3.710","3.733","3.733","3.710","-0.59%"
"Jan 12, 2023","3.732","3.732","3.755","3.732","0.03%"
"Jan 11, 2023","3.731","3.731","3.777","3.731","-1.79%"
"Jan 10, 2023","3.799","3.730","3.799","3.730","-5.40%"
"Jan 09, 2023","4.016","4.016","4.016","4.016","9.13%"
"Jan 06, 2023","3.680","3.680","3.680","3.680","-8.34%"
"Jan 05, 2023","4.015","4.015","4.015","4.015","0.00%"
"Jan 04, 2023","4.015","4.015","4.015","4.015","0.07%"
"Jan 03, 2023","4.012","4.012","4.012","3.841","0.00%"
"Jan 02, 2023","4.012","4.012","4.021","3.886","6.39%"
"Dec 30, 2022","3.771","3.771","3.771","3.771","3.71%"
"Dec 29, 2022","3.636","3.636","3.955","3.636","1.62%"
"Dec 28, 2022","3.578","3.678","3.678","3.578","1.02%"
"Dec 27, 2022","3.542","3.542","3.542","3.461","1.66%"
"Dec 25, 2022","3.484","3.484","3.484","3.484","0.00%"
"Dec 24, 2022","3.484","3.484","3.484","3.484","-1.41%"
"Dec 23, 2022","3.534","3.534","3.534","3.534","0.51%"
"Dec 22, 2022","3.516","3.516","3.516","3.460","-3.11%"
"Dec 21, 2022","3.629","3.629","3.629","3.629","0.00%"
"Dec 20, 2022","3.629","3.629","3.629","3.629","4.95%"
"Dec 19, 2022","3.458","3.458","3.628","3.458","0.03%"
"Dec 16, 2022","3.457","3.461","3.560","3.457","-0.09%"
"Dec 15, 2022","3.460","3.460","3.460","3.457","1.05%"
"Dec 14, 2022","3.424","3.456","3.463","3.424","-1.52%"
"Dec 13, 2022","3.477","3.477","3.477","3.455","-0.03%"
"Dec 12, 2022","3.478","3.455","3.478","3.455","1.10%"
"Dec 10, 2022","3.440","3.440","3.440","3.440","-1.18%"
"Dec 09, 2022","3.481","3.423","3.490","3.423","-0.26%"
"Dec 08, 2022","3.490","3.423","3.490","3.423","-0.26%"
"Dec 07, 2022","3.499","3.488","3.499","3.488","0.32%"
"Dec 06, 2022","3.488","3.488","3.488","3.488","-0.23%"
"Dec 05, 2022","3.496","3.496","3.496","3.487","0.82%"
"Dec 03, 2022","3.467","3.467","3.467","3.467","-0.82%"
"Dec 02, 2022","3.496","3.496","3.496","3.443","-0.03%"
"Dec 01, 2022","3.497","3.497","3.497","3.487","-0.11%"
"Nov 30, 2022","3.501","3.485","3.501","3.485","-0.28%"
"Nov 29, 2022","3.511","3.485","3.511","3.451","0.77%"
"Nov 28, 2022","3.484","3.518","3.518","3.484","-2.98%"
"Nov 25, 2022","3.591","3.591","3.591","3.591","1.18%"
"Nov 24, 2022","3.549","3.549","3.590","3.549","0.88%"
"Nov 23, 2022","3.518","3.500","3.518","3.500","-0.03%"
"Nov 22, 2022","3.519","3.500","3.519","3.500","0.57%"
"Nov 21, 2022","3.499","3.524","3.524","3.499","0.44%"
"Nov 19, 2022","3.484","3.484","3.484","3.484","1.49%"
"Nov 18, 2022","3.432","3.484","3.484","3.432","-2.76%"
"Nov 17, 2022","3.530","3.530","3.530","3.530","-0.65%"
"Nov 16, 2022","3.553","3.553","3.553","3.553","1.60%"
"Nov 15, 2022","3.497","3.497","3.497","3.497","-3.88%"
"Nov 14, 2022","3.638","3.638","3.638","3.638","-7.34%"
"Nov 11, 2022","3.926","3.926","3.926","3.926","0.03%"
"Nov 10, 2022","3.925","3.930","3.930","3.925","-0.88%"
"Nov 09, 2022","3.960","3.960","3.960","3.923","-0.35%"
"Nov 08, 2022","3.974","3.923","3.974","3.923","-1.88%"
"Nov 07, 2022","4.050","4.044","4.050","4.013","0.24%"
"Nov 06, 2022","4.041","4.041","4.041","4.041","0.00%"
"Nov 05, 2022","4.041","4.041","4.041","4.041","-0.60%"
"Nov 04, 2022","4.065","4.065","4.065","3.921","-1.65%"
"Nov 03, 2022","4.133","4.133","4.177","4.133","0.36%"
"Nov 02, 2022","4.118","4.175","4.175","4.118","2.58%"
"Nov 01, 2022","4.015","4.015","4.015","4.015","-0.97%"
"Oct 31, 2022","4.054","4.129","4.129","4.054","-2.85%"
"Oct 28, 2022","4.173","4.173","4.173","4.125","1.19%"
"Oct 27, 2022","4.124","4.172","4.172","4.124","-1.10%"
