"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","4.027","4.040","4.105","4.014","-1.01%"
"Feb 14, 2023","4.068","4.000","4.068","3.940","-0.54%"
"Feb 13, 2023","4.090","4.076","4.121","3.990","0.57%"
"Feb 10, 2023","4.067","4.076","4.121","4.027","0.47%"
"Feb 09, 2023","4.048","4.053","4.065","3.979","0.62%"
"Feb 08, 2023","4.023","4.085","4.122","4.017","-1.54%"
"Feb 07, 2023","4.086","4.088","4.096","4.023","0.44%"
"Feb 06, 2023","4.068","3.971","4.068","3.916","2.01%"
"Feb 03, 2023","3.988","3.888","3.988","3.878","-0.20%"
"Feb 02, 2023","3.996","3.974","4.011","3.806","-0.70%"
"Feb 01, 2023","4.024","3.951","4.032","3.941","-3.06%"
"Jan 31, 2023","4.151","4.006","4.151","3.949","2.82%"
"Jan 30, 2023","4.037","3.893","4.037","3.877","0.70%"
"Jan 27, 2023","4.009","3.908","4.035","3.906","0.48%"
"Jan 26, 2023","3.990","3.902","4.023","3.861","1.12%"
"Jan 25, 2023","3.946","3.962","3.962","3.845","1.47%"
"Jan 24, 2023","3.889","3.875","3.957","3.871","-0.89%"
"Jan 23, 2023","3.924","4.182","4.266","3.884","-7.23%"
"Jan 20, 2023","4.230","4.097","4.250","4.085","1.88%"
"Jan 19, 2023","4.152","4.123","4.170","4.026","0.00%"
"Jan 18, 2023","4.152","4.211","4.294","4.030","-3.49%"
"Jan 17, 2023","4.302","4.316","4.366","4.216","-1.28%"
"Jan 16, 2023","4.358","4.246","4.367","4.230","8.14%"
"Jan 15, 2023","4.030","4.030","4.030","4.030","0.00%"
"Jan 14, 2023","4.030","4.030","4.030","4.030","-4.55%"
"Jan 13, 2023","4.222","4.310","4.387","4.190","12.32%"
"Jan 12, 2023","3.759","3.923","3.923","3.672","-4.16%"
"Jan 11, 2023","3.922","3.988","4.062","3.839","-4.41%"
"Jan 10, 2023","4.103","4.174","4.203","3.953","-1.46%"
"Jan 09, 2023","4.164","4.172","4.222","4.105","2.03%"
"Jan 06, 2023","4.081","4.090","4.107","4.014","-1.50%"
"Jan 05, 2023","4.143","4.209","4.244","4.134","0.24%"
"Jan 04, 2023","4.133","4.221","4.279","4.132","-2.39%"
"Jan 03, 2023","4.234","4.221","4.279","4.203","0.19%"
"Jan 02, 2023","4.226","4.143","4.258","4.118","0.38%"
"Dec 30, 2022","4.210","4.067","4.229","4.053","3.06%"
"Dec 29, 2022","4.085","4.166","4.271","4.085","-3.61%"
"Dec 28, 2022","4.238","4.166","4.269","4.157","0.95%"
"Dec 27, 2022","4.198","4.212","4.225","4.198","-1.80%"
"Dec 23, 2022","4.275","4.269","4.308","4.262","-0.35%"
"Dec 22, 2022","4.290","4.249","4.306","4.190","1.73%"
"Dec 21, 2022","4.217","4.205","4.258","4.161","0.43%"
"Dec 20, 2022","4.199","4.170","4.225","4.170","1.55%"
"Dec 19, 2022","4.135","4.057","4.195","4.001","0.34%"
"Dec 16, 2022","4.121","4.057","4.195","4.001","3.91%"
"Dec 15, 2022","3.966","3.918","3.977","3.832","2.93%"
"Dec 14, 2022","3.853","3.924","3.931","3.821","-1.61%"
"Dec 13, 2022","3.916","3.922","3.938","3.842","-0.15%"
"Dec 12, 2022","3.922","3.934","3.947","3.882","0.00%"
"Dec 09, 2022","3.922","3.889","3.927","3.852","1.16%"
"Dec 08, 2022","3.877","3.862","3.936","3.851","0.49%"
"Dec 07, 2022","3.858","3.870","3.941","3.850","-1.15%"
"Dec 06, 2022","3.903","3.935","3.960","3.859","-1.98%"
"Dec 05, 2022","3.982","3.954","3.984","3.906","2.52%"
"Dec 02, 2022","3.884","3.937","3.978","3.863","-2.22%"
"Dec 01, 2022","3.972","4.050","4.050","3.917","-0.95%"
"Nov 30, 2022","4.010","4.022","4.022","4.003","0.65%"
"Nov 29, 2022","3.984","4.048","4.069","3.972","-2.62%"
"Nov 28, 2022","4.091","4.034","4.122","4.028","0.66%"
"Nov 25, 2022","4.064","4.045","4.137","3.985","0.84%"
"Nov 24, 2022","4.030","4.045","4.137","3.985","-2.37%"
"Nov 23, 2022","4.128","4.161","4.194","4.000","-0.77%"
"Nov 22, 2022","4.160","4.147","4.232","4.120","-1.30%"
"Nov 21, 2022","4.215","4.139","4.217","4.118","1.42%"
"Nov 18, 2022","4.156","4.143","4.244","4.138","-0.57%"
"Nov 17, 2022","4.180","4.162","4.227","4.140","-0.36%"
"Nov 16, 2022","4.195","4.223","4.240","4.162","-0.33%"
"Nov 15, 2022","4.209","4.183","4.263","4.128","-0.12%"
"Nov 14, 2022","4.214","4.183","4.240","4.128","0.19%"
"Nov 11, 2022","4.206","4.238","4.245","4.127","1.20%"
"Nov 10, 2022","4.156","4.238","4.245","4.151","-1.17%"
"Nov 09, 2022","4.205","4.213","4.259","4.157","-1.94%"
"Nov 08, 2022","4.288","4.292","4.315","4.224","-0.81%"
"Nov 07, 2022","4.323","4.232","4.323","4.215","1.48%"
"Nov 04, 2022","4.260","4.235","4.287","4.205","0.26%"
"Nov 03, 2022","4.249","4.213","4.282","4.166","1.70%"
"Nov 02, 2022","4.178","4.176","4.214","4.152","-0.02%"
"Nov 01, 2022","4.179","4.169","4.192","4.113","-0.07%"
"Oct 31, 2022","4.182","4.132","4.201","4.113","2.81%"
"Oct 28, 2022","4.068","4.000","4.120","3.993","-1.47%"
"Oct 27, 2022","4.128","4.142","4.211","4.115","-0.36%"
"Oct 26, 2022","4.143","4.118","4.221","4.091","0.70%"
"Oct 25, 2022","4.114","4.147","4.166","4.111","-0.99%"
"Oct 24, 2022","4.155","4.140","4.209","4.110","-1.33%"
"Oct 21, 2022","4.211","4.203","4.267","4.147","1.42%"
"Oct 20, 2022","4.152","4.114","4.224","4.109","-0.19%"
"Oct 19, 2022","4.160","4.030","4.172","4.014","1.59%"
"Oct 18, 2022","4.095","4.030","4.172","4.014","0.34%"
"Oct 17, 2022","4.081","4.052","4.107","3.995","-0.49%"
"Oct 14, 2022","4.101","3.998","4.114","3.978","-0.24%"
"Oct 13, 2022","4.111","4.047","4.207","4.005","1.68%"
"Oct 12, 2022","4.043","3.983","4.120","3.934","-1.80%"
"Oct 11, 2022","4.117","3.983","4.120","3.983","0.34%"
"Oct 10, 2022","4.103","4.028","4.165","3.969","2.01%"
"Oct 07, 2022","4.022","4.013","4.079","3.969","0.45%"
"Oct 06, 2022","4.004","3.928","4.033","3.916","1.42%"
"Oct 05, 2022","3.948","3.915","3.975","3.874","2.17%"
"Oct 04, 2022","3.864","3.847","3.940","3.783","-0.57%"
"Oct 03, 2022","3.886","4.048","4.069","3.884","-3.93%"
"Sep 30, 2022","4.045","4.100","4.123","3.963","-1.05%"
"Sep 29, 2022","4.088","4.057","4.174","4.057","0.32%"
"Sep 28, 2022","4.075","3.982","4.172","3.982","2.26%"
"Sep 27, 2022","3.985","3.908","4.006","3.861","1.17%"
"Sep 26, 2022","3.939","3.909","3.969","3.821","3.36%"
"Sep 23, 2022","3.811","3.671","3.813","3.662","3.53%"
"Sep 22, 2022","3.681","3.658","3.772","3.636","0.33%"
"Sep 21, 2022","3.669","3.644","3.721","3.614","0.71%"
"Sep 20, 2022","3.643","3.549","3.696","3.531","2.91%"
"Sep 19, 2022","3.540","3.506","3.583","3.500","0.83%"
"Sep 16, 2022","3.511","3.516","3.566","3.503","-0.45%"
"Sep 15, 2022","3.527","3.515","3.559","3.489","1.23%"
"Sep 14, 2022","3.484","3.488","3.556","3.461","-0.66%"
"Sep 13, 2022","3.507","3.437","3.514","3.426","1.65%"
"Sep 12, 2022","3.450","3.459","3.510","3.437","-0.49%"
"Sep 09, 2022","3.467","3.411","3.525","3.366","1.85%"
"Sep 08, 2022","3.404","3.405","3.468","3.371","0.53%"
"Sep 07, 2022","3.386","3.399","3.447","3.351","-0.44%"
"Sep 06, 2022","3.401","3.382","3.444","3.344","-0.35%"
"Sep 05, 2022","3.413","3.355","3.420","3.346","1.82%"
"Sep 02, 2022","3.352","3.346","3.411","3.332","0.15%"
"Sep 01, 2022","3.347","3.320","3.397","3.298","1.06%"
"Aug 31, 2022","3.312","3.238","3.360","3.219","1.97%"
"Aug 30, 2022","3.248","3.222","3.309","3.192","1.98%"
"Aug 29, 2022","3.185","3.119","3.185","3.118","1.08%"
"Aug 26, 2022","3.151","3.094","3.207","3.087","1.91%"
"Aug 25, 2022","3.092","3.108","3.159","3.078","-0.10%"
"Aug 24, 2022","3.095","3.084","3.158","3.057","1.48%"
"Aug 23, 2022","3.050","3.053","3.109","3.033","1.09%"
"Aug 22, 2022","3.017","2.936","3.078","2.916","2.31%"
"Aug 19, 2022","2.949","2.944","3.002","2.920","4.20%"
"Aug 18, 2022","2.830","2.941","2.949","2.813","0.89%"
"Aug 17, 2022","2.805","2.750","2.914","2.678","4.74%"
"Aug 16, 2022","2.678","2.763","2.814","2.637","0.92%"
"Aug 15, 2022","2.654","2.741","2.741","2.607","-2.44%"
"Aug 12, 2022","2.720","2.652","2.856","2.652","0.55%"
"Aug 11, 2022","2.705","2.628","2.855","2.628","1.31%"
"Aug 10, 2022","2.670","2.669","2.832","2.620","-1.98%"
"Aug 09, 2022","2.724","2.702","2.849","2.656","0.96%"
"Aug 08, 2022","2.698","2.605","2.832","2.653","-0.63%"
"Aug 05, 2022","2.715","2.605","2.844","2.602","4.14%"
"Aug 04, 2022","2.607","2.652","2.836","2.595","-2.29%"
"Aug 03, 2022","2.668","2.650","2.859","2.602","-0.41%"
"Aug 02, 2022","2.679","2.737","2.765","2.562","-1.11%"
"Aug 01, 2022","2.709","2.974","3.058","2.695","-6.04%"
"Jul 30, 2022","2.883","2.883","2.883","2.883","0.28%"
"Jul 29, 2022","2.875","2.974","3.058","2.863","-1.54%"
"Jul 28, 2022","2.920","3.073","3.078","2.895","-3.31%"
"Jul 27, 2022","3.020","2.999","3.042","2.998","0.40%"
"Jul 26, 2022","3.008","3.188","3.188","2.992","-8.52%"
"Jul 25, 2022","3.288","3.223","3.288","3.155","-0.03%"
"Jul 22, 2022","3.289","3.233","3.289","3.203","1.11%"
"Jul 21, 2022","3.253","3.211","3.284","3.211","0.12%"
"Jul 20, 2022","3.249","3.213","3.249","3.203","-0.15%"
"Jul 19, 2022","3.254","3.208","3.264","3.191","0.15%"
"Jul 18, 2022","3.249","3.205","3.261","3.193","0.19%"
"Jul 15, 2022","3.243","3.209","3.243","3.181","-1.40%"
"Jul 14, 2022","3.289","3.137","3.289","3.137","2.02%"
"Jul 13, 2022","3.224","3.178","3.224","3.122","-0.74%"
"Jul 12, 2022","3.248","3.253","3.254","3.149","-1.07%"
"Jul 11, 2022","3.283","3.271","3.283","3.208","0.09%"
"Jul 08, 2022","3.280","3.284","3.313","3.247","-0.15%"
"Jul 07, 2022","3.285","3.261","3.304","3.258","0.83%"
"Jul 06, 2022","3.258","3.292","3.292","3.235","-1.48%"
"Jul 05, 2022","3.307","3.306","3.325","3.246","-0.42%"
"Jul 04, 2022","3.321","3.280","3.350","3.279","0.54%"
"Jul 01, 2022","3.303","3.385","3.432","3.270","-1.67%"
"Jun 30, 2022","3.359","3.401","3.444","3.336","-1.84%"
"Jun 29, 2022","3.422","3.392","3.451","3.387","0.03%"
"Jun 28, 2022","3.421","3.436","3.478","3.384","-0.81%"
"Jun 27, 2022","3.449","3.357","3.479","3.357","4.96%"
"Jun 24, 2022","3.286","3.421","3.421","3.275","-0.93%"
"Jun 23, 2022","3.317","3.483","3.498","3.317","-4.08%"
"Jun 22, 2022","3.458","3.483","3.498","3.445","-1.59%"
"Jun 21, 2022","3.514","3.478","3.514","3.447","1.36%"
"Jun 20, 2022","3.467","3.473","3.504","3.457","0.29%"
"Jun 17, 2022","3.457","3.457","3.535","3.351","0.41%"
"Jun 16, 2022","3.443","3.424","3.570","3.405","0.03%"
"Jun 15, 2022","3.442","3.539","3.606","3.351","-3.42%"
"Jun 14, 2022","3.564","3.384","3.565","3.372","3.44%"
"Jun 13, 2022","3.445","3.208","3.445","3.143","7.64%"
"Jun 10, 2022","3.201","3.107","3.201","3.068","4.71%"
"Jun 09, 2022","3.057","2.899","3.057","2.797","2.72%"
"Jun 08, 2022","2.976","2.758","2.976","2.752","12.81%"
"Jun 07, 2022","2.638","2.577","2.650","2.533","3.94%"
"Jun 06, 2022","2.538","2.641","2.641","2.536","-0.90%"
"Jun 03, 2022","2.561","2.680","2.729","2.550","-3.14%"
"Jun 02, 2022","2.644","2.601","2.658","2.527","3.56%"
"Jun 01, 2022","2.553","2.561","2.626","2.519","-4.88%"
"May 31, 2022","2.684","2.554","2.684","2.530","5.25%"
"May 30, 2022","2.550","2.546","2.664","2.546","-1.20%"
"May 27, 2022","2.581","2.532","2.581","2.510","0.27%"
"May 26, 2022","2.574","2.536","2.574","2.508","-0.04%"
"May 25, 2022","2.575","2.547","2.577","2.530","0.74%"
"May 24, 2022","2.556","2.546","2.619","2.533","-3.00%"
"May 23, 2022","2.635","2.538","2.646","2.533","2.65%"
"May 20, 2022","2.567","2.545","2.570","2.528","-0.04%"
"May 19, 2022","2.568","2.535","2.568","2.493","1.42%"
"May 18, 2022","2.532","2.524","2.582","2.521","-1.06%"
"May 17, 2022","2.559","2.458","2.566","2.451","4.53%"
