"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","4.716","4.590","4.722","4.590","1.22%"
"Feb 14, 2023","4.659","4.585","4.689","4.558","0.95%"
"Feb 13, 2023","4.615","4.531","4.616","4.531","1.92%"
"Feb 10, 2023","4.528","4.515","4.610","4.480","2.07%"
"Feb 09, 2023","4.436","4.455","4.456","4.409","-0.87%"
"Feb 08, 2023","4.475","4.489","4.523","4.452","-0.67%"
"Feb 07, 2023","4.505","4.464","4.527","4.439","0.51%"
"Feb 06, 2023","4.482","4.375","4.513","4.373","1.98%"
"Feb 03, 2023","4.395","4.454","4.471","4.335","-1.24%"
"Feb 02, 2023","4.450","4.544","4.549","4.396","-2.92%"
"Feb 01, 2023","4.584","4.615","4.627","4.567","-0.54%"
"Jan 31, 2023","4.609","4.604","4.672","4.603","-0.95%"
"Jan 30, 2023","4.653","4.523","4.693","4.523","3.05%"
"Jan 29, 2023","4.516","4.516","4.516","4.516","-0.12%"
"Jan 27, 2023","4.521","4.394","4.615","4.394","2.19%"
"Jan 26, 2023","4.424","4.408","4.507","4.385","0.18%"
"Jan 25, 2023","4.416","4.390","4.417","4.376","0.32%"
"Jan 24, 2023","4.402","4.387","4.410","4.387","-0.11%"
"Jan 23, 2023","4.407","4.309","4.409","4.304","1.94%"
"Jan 20, 2023","4.323","4.249","4.339","4.239","1.86%"
"Jan 19, 2023","4.244","4.232","4.251","4.209","0.45%"
"Jan 18, 2023","4.225","4.315","4.347","4.214","-2.24%"
"Jan 17, 2023","4.322","4.363","4.388","4.321","-0.64%"
"Jan 16, 2023","4.350","4.348","4.372","4.287","0.12%"
"Jan 13, 2023","4.345","4.379","4.413","4.345","-1.23%"
"Jan 12, 2023","4.399","4.477","4.481","4.309","-0.86%"
"Jan 11, 2023","4.437","4.541","4.541","4.437","-3.54%"
"Jan 10, 2023","4.600","4.508","4.600","4.455","2.36%"
"Jan 09, 2023","4.494","4.645","4.673","4.440","-3.27%"
"Jan 06, 2023","4.646","4.809","4.818","4.642","-3.85%"
"Jan 05, 2023","4.832","4.973","4.999","4.736","-2.52%"
"Jan 04, 2023","4.957","5.077","5.077","4.951","-2.84%"
"Jan 03, 2023","5.102","5.105","5.169","4.993","-0.78%"
"Jan 02, 2023","5.142","5.115","5.168","5.040","0.43%"
"Dec 30, 2022","5.120","5.063","5.265","5.063","-0.79%"
"Dec 29, 2022","5.161","5.018","5.175","4.974","2.81%"
"Dec 28, 2022","5.020","5.010","5.045","5.004","-0.02%"
"Dec 27, 2022","5.021","5.000","5.029","4.907","0.28%"
"Dec 23, 2022","5.007","4.888","5.010","4.888","1.27%"
"Dec 22, 2022","4.944","4.950","4.995","4.812","-0.28%"
"Dec 21, 2022","4.958","4.947","4.995","4.945","-0.46%"
"Dec 20, 2022","4.981","4.870","5.076","4.866","2.43%"
"Dec 19, 2022","4.863","4.825","4.872","4.810","1.19%"
"Dec 16, 2022","4.806","4.765","4.823","4.736","1.80%"
"Dec 15, 2022","4.721","4.625","4.760","4.544","2.08%"
"Dec 14, 2022","4.625","4.633","4.646","4.604","-1.83%"
"Dec 13, 2022","4.711","4.694","4.718","4.556","0.04%"
"Dec 12, 2022","4.709","4.658","4.747","4.624","1.40%"
"Dec 09, 2022","4.644","4.675","4.709","4.478","0.61%"
"Dec 08, 2022","4.616","4.675","4.709","4.478","-1.41%"
"Dec 07, 2022","4.682","4.726","4.735","4.582","-0.76%"
"Dec 06, 2022","4.718","4.707","4.729","4.685","0.77%"
"Dec 05, 2022","4.682","4.658","4.683","4.636","0.91%"
"Dec 02, 2022","4.640","4.664","4.748","4.616","1.16%"
"Dec 01, 2022","4.587","4.731","4.731","4.587","-3.35%"
"Nov 30, 2022","4.746","4.780","4.838","4.683","-1.13%"
"Nov 29, 2022","4.800","4.846","4.851","4.698","-0.72%"
"Nov 28, 2022","4.835","4.847","4.885","4.798","-0.33%"
"Nov 25, 2022","4.851","4.811","4.898","4.758","0.52%"
"Nov 24, 2022","4.826","4.877","4.877","4.665","-1.21%"
"Nov 23, 2022","4.885","4.918","4.964","4.881","-0.73%"
"Nov 22, 2022","4.921","4.981","4.981","4.898","-2.03%"
"Nov 21, 2022","5.023","5.061","5.098","5.023","-1.18%"
"Nov 18, 2022","5.083","5.042","5.172","5.030","5.00%"
"Nov 17, 2022","4.841","4.841","4.841","4.841","-2.46%"
