"Date","Price","Open","High","Low","Change %"
"Feb 13, 2023","2.569","2.580","2.618","2.533","-0.93%"
"Feb 10, 2023","2.593","2.561","2.597","2.520","3.47%"
"Feb 09, 2023","2.506","2.538","2.549","2.451","0.64%"
"Feb 08, 2023","2.490","2.485","2.559","2.462","2.43%"
"Feb 07, 2023","2.431","2.419","2.500","2.410","0.41%"
"Feb 06, 2023","2.421","2.369","2.465","2.347","4.58%"
"Feb 03, 2023","2.315","2.286","2.387","2.235","3.12%"
"Feb 02, 2023","2.245","2.465","2.500","2.230","-9.91%"
"Feb 01, 2023","2.492","2.461","2.536","2.436","-1.11%"
"Jan 31, 2023","2.520","2.509","2.553","2.453","0.48%"
"Jan 30, 2023","2.508","2.416","2.568","2.400","2.66%"
"Jan 27, 2023","2.443","2.479","2.527","2.437","1.03%"
"Jan 26, 2023","2.418","2.401","2.457","2.371","0.88%"
"Jan 25, 2023","2.397","2.402","2.440","2.312","-0.50%"
"Jan 24, 2023","2.409","2.468","2.494","2.395","-1.23%"
"Jan 23, 2023","2.439","2.439","2.439","2.439","1.33%"
"Jan 20, 2023","2.407","2.407","2.407","2.407","5.02%"
"Jan 19, 2023","2.292","2.292","2.292","2.292","3.06%"
"Jan 18, 2023","2.224","2.224","2.224","2.224","-3.39%"
"Jan 17, 2023","2.302","2.302","2.302","2.302","-3.36%"
"Jan 16, 2023","2.382","2.382","2.382","2.382","0.51%"
"Jan 13, 2023","2.370","2.370","2.370","2.370","0.08%"
"Jan 12, 2023","2.368","2.368","2.368","2.368","-2.19%"
"Jan 11, 2023","2.421","2.421","2.421","2.421","-4.65%"
"Jan 10, 2023","2.539","2.539","2.539","2.539","1.89%"
"Jan 09, 2023","2.492","2.492","2.492","2.492","1.96%"
"Jan 06, 2023","2.444","2.444","2.444","2.444","-3.97%"
"Jan 05, 2023","2.545","2.545","2.545","2.545","1.60%"
"Jan 04, 2023","2.505","2.505","2.505","2.505","-3.80%"
"Jan 03, 2023","2.604","2.604","2.604","2.604","-2.54%"
"Jan 02, 2023","2.672","2.672","2.672","2.672","-4.91%"
"Dec 30, 2022","2.810","2.810","2.810","2.810","3.42%"
"Dec 29, 2022","2.717","2.717","2.717","2.717","-1.34%"
"Dec 28, 2022","2.754","2.754","2.754","2.754","0.07%"
"Dec 27, 2022","2.752","2.752","2.752","2.752","4.12%"
"Dec 23, 2022","2.643","2.643","2.643","2.643","1.54%"
"Dec 22, 2022","2.603","2.603","2.603","2.603","2.12%"
"Dec 21, 2022","2.549","2.549","2.549","2.549","-0.27%"
"Dec 20, 2022","2.556","2.556","2.556","2.556","5.62%"
"Dec 19, 2022","2.420","2.420","2.420","2.420","-0.49%"
"Dec 16, 2022","2.432","2.432","2.432","2.432","2.88%"
"Dec 15, 2022","2.364","2.364","2.364","2.364","7.65%"
"Dec 14, 2022","2.196","2.196","2.196","2.196","1.20%"
"Dec 13, 2022","2.170","2.170","2.170","2.170","-2.16%"
"Dec 12, 2022","2.218","2.218","2.218","2.218","1.51%"
"Dec 09, 2022","2.185","2.185","2.185","2.185","5.97%"
"Dec 08, 2022","2.062","2.062","2.062","2.062","0.83%"
"Dec 07, 2022","2.045","2.045","2.045","2.045","-0.73%"
"Dec 06, 2022","2.060","2.060","2.060","2.060","-4.19%"
"Dec 05, 2022","2.150","2.150","2.150","2.150","1.85%"
"Dec 02, 2022","2.111","2.111","2.111","2.111","2.93%"
"Dec 01, 2022","2.051","2.051","2.051","2.051","-4.96%"
"Nov 30, 2022","2.158","2.158","2.158","2.158","1.36%"
"Nov 29, 2022","2.129","2.129","2.129","2.129","-4.14%"
"Nov 28, 2022","2.221","2.221","2.221","2.221","-0.89%"
"Nov 25, 2022","2.241","2.241","2.241","2.241","6.77%"
"Nov 24, 2022","2.099","2.099","2.099","2.099","-3.80%"
"Nov 23, 2022","2.182","2.182","2.182","2.182","-2.85%"
"Nov 22, 2022","2.246","2.246","2.246","2.246","0.45%"
"Nov 21, 2022","2.236","2.236","2.236","2.236","-1.45%"
"Nov 18, 2022","2.269","2.269","2.269","2.269","-0.66%"
"Nov 17, 2022","2.284","2.284","2.284","2.284","0.40%"
"Nov 16, 2022","2.275","2.275","2.275","2.275","-4.69%"
"Nov 15, 2022","2.387","2.387","2.387","2.387","-1.53%"
"Nov 14, 2022","2.424","2.424","2.424","2.424","0.29%"
"Nov 11, 2022","2.417","2.417","2.417","2.417","7.04%"
"Nov 10, 2022","2.258","2.258","2.258","2.258","-7.69%"
"Nov 09, 2022","2.446","2.446","2.446","2.446","-4.53%"
"Nov 08, 2022","2.562","2.562","2.562","2.562","-4.08%"
"Nov 07, 2022","2.671","2.671","2.671","2.671","0.11%"
"Nov 04, 2022","2.668","2.668","2.668","2.668","1.48%"
"Nov 03, 2022","2.629","2.629","2.629","2.629","3.54%"
"Nov 02, 2022","2.539","2.539","2.539","2.539","0.75%"
"Nov 01, 2022","2.520","2.520","2.520","2.520","-0.83%"
"Oct 31, 2022","2.541","2.541","2.541","2.541","2.96%"
"Oct 28, 2022","2.468","2.468","2.468","2.468","1.77%"
"Oct 27, 2022","2.425","2.425","2.425","2.425","-3.66%"
"Oct 26, 2022","2.517","2.517","2.517","2.517","-2.02%"
"Oct 25, 2022","2.569","2.569","2.569","2.569","-6.24%"
"Oct 24, 2022","2.740","2.740","2.740","2.740","-2.77%"
"Oct 21, 2022","2.818","2.818","2.818","2.818","1.08%"
"Oct 20, 2022","2.788","2.788","2.788","2.788","1.49%"
"Oct 19, 2022","2.747","2.747","2.747","2.747","3.35%"
"Oct 18, 2022","2.658","2.658","2.658","2.658","-0.82%"
"Oct 17, 2022","2.680","2.680","2.680","2.680","-2.40%"
"Oct 14, 2022","2.746","2.746","2.746","2.746","0.37%"
"Oct 13, 2022","2.736","2.736","2.736","2.736","-1.97%"
"Oct 12, 2022","2.791","2.791","2.791","2.791","1.42%"
"Oct 11, 2022","2.752","2.752","2.752","2.752","-1.40%"
"Oct 10, 2022","2.791","2.791","2.791","2.791","6.24%"
"Oct 07, 2022","2.627","2.627","2.627","2.627","2.70%"
"Oct 06, 2022","2.558","2.558","2.558","2.558","2.69%"
"Oct 05, 2022","2.491","2.491","2.491","2.491","6.14%"
"Oct 04, 2022","2.347","2.347","2.347","2.347","-1.18%"
"Oct 03, 2022","2.375","2.375","2.375","2.375","-7.84%"
"Sep 30, 2022","2.577","2.577","2.577","2.577","-4.41%"
"Sep 29, 2022","2.696","2.696","2.696","2.696","2.94%"
"Sep 28, 2022","2.619","2.619","2.619","2.619","-1.21%"
"Sep 27, 2022","2.651","2.651","2.651","2.651","5.96%"
"Sep 26, 2022","2.502","2.502","2.502","2.502","2.37%"
"Sep 23, 2022","2.444","2.444","2.444","2.444","2.05%"
"Sep 22, 2022","2.395","2.395","2.395","2.395","5.00%"
"Sep 21, 2022","2.281","2.281","2.281","2.281","-1.64%"
"Sep 20, 2022","2.319","2.319","2.319","2.319","6.47%"
"Sep 19, 2022","2.178","2.178","2.178","2.178","-0.05%"
"Sep 16, 2022","2.179","2.179","2.179","2.179","3.27%"
"Sep 15, 2022","2.110","2.110","2.110","2.110","1.01%"
"Sep 14, 2022","2.089","2.089","2.089","2.089","0.58%"
"Sep 13, 2022","2.077","2.077","2.077","2.077","4.95%"
"Sep 12, 2022","1.979","1.979","1.979","1.979","-3.70%"
"Sep 09, 2022","2.055","2.055","2.055","2.055","-0.72%"
"Sep 08, 2022","2.070","2.070","2.070","2.070","5.24%"
"Sep 07, 2022","1.967","1.967","1.967","1.967","-2.38%"
"Sep 06, 2022","2.015","2.015","2.015","2.015","3.55%"
"Sep 05, 2022","1.946","1.946","1.946","1.946","3.07%"
"Sep 02, 2022","1.888","1.888","1.888","1.888","-3.28%"
"Sep 01, 2022","1.952","1.952","1.952","1.952","2.57%"
"Aug 31, 2022","1.903","1.903","1.903","1.903","0.00%"
"Aug 30, 2022","1.903","1.903","1.903","1.903","1.28%"
"Aug 29, 2022","1.879","1.879","1.879","1.879","5.80%"
"Aug 26, 2022","1.776","1.776","1.776","1.776","4.53%"
"Aug 25, 2022","1.699","1.699","1.699","1.699","-2.07%"
"Aug 24, 2022","1.735","1.735","1.735","1.735","4.14%"
"Aug 23, 2022","1.666","1.666","1.666","1.666","2.59%"
"Aug 22, 2022","1.624","1.624","1.624","1.624","3.57%"
"Aug 19, 2022","1.568","1.568","1.568","1.568","10.58%"
"Aug 18, 2022","1.418","1.418","1.418","1.418","0.50%"
"Aug 17, 2022","1.411","1.411","1.411","1.411","7.71%"
"Aug 16, 2022","1.310","1.310","1.310","1.310","6.59%"
"Aug 15, 2022","1.229","1.229","1.229","1.229","-6.04%"
"Aug 12, 2022","1.308","1.308","1.308","1.308","0.62%"
"Aug 11, 2022","1.300","1.300","1.300","1.300","9.34%"
"Aug 10, 2022","1.189","1.189","1.189","1.189","-3.88%"
"Aug 09, 2022","1.237","1.237","1.237","1.237","3.51%"
"Aug 08, 2022","1.195","1.195","1.195","1.195","-4.63%"
"Aug 05, 2022","1.253","1.253","1.253","1.253","13.19%"
"Aug 04, 2022","1.107","1.107","1.107","1.107","-6.42%"
"Aug 03, 2022","1.183","1.183","1.183","1.183","10.25%"
"Aug 02, 2022","1.073","1.073","1.073","1.073","1.80%"
"Aug 01, 2022","1.054","1.054","1.054","1.054","-4.87%"
"Jul 29, 2022","1.108","1.108","1.108","1.108","1.56%"
"Jul 28, 2022","1.091","1.091","1.091","1.091","-9.83%"
"Jul 27, 2022","1.210","1.210","1.210","1.210","-2.10%"
"Jul 26, 2022","1.236","1.236","1.236","1.236","-7.62%"
