"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","2.986","2.937","3.001","2.914","0.95%"
"Feb 14, 2023","2.958","2.887","2.963","2.835","2.58%"
"Feb 13, 2023","2.884","2.886","2.943","2.866","-0.88%"
"Feb 10, 2023","2.909","2.918","2.944","2.854","1.96%"
"Feb 09, 2023","2.853","2.882","2.893","2.788","-1.76%"
"Feb 08, 2023","2.904","2.882","2.966","2.875","0.62%"
"Feb 07, 2023","2.886","2.831","2.903","2.822","1.58%"
"Feb 06, 2023","2.841","2.796","2.866","2.770","3.95%"
"Feb 03, 2023","2.733","2.621","2.789","2.611","5.44%"
"Feb 02, 2023","2.592","2.775","2.838","2.566","-8.76%"
"Feb 01, 2023","2.841","2.807","2.873","2.784","0.57%"
"Jan 31, 2023","2.825","2.837","2.890","2.789","-1.64%"
"Jan 30, 2023","2.872","2.773","2.895","2.773","3.42%"
"Jan 27, 2023","2.777","2.766","2.835","2.766","0.40%"
"Jan 26, 2023","2.766","2.684","2.770","2.670","3.02%"
"Jan 25, 2023","2.685","2.677","2.718","2.609","-0.11%"
"Jan 24, 2023","2.688","2.718","2.770","2.669","-1.75%"
"Jan 23, 2023","2.736","2.704","2.745","2.660","1.60%"
"Jan 20, 2023","2.693","2.585","2.697","2.572","5.48%"
"Jan 19, 2023","2.553","2.526","2.610","2.487","1.39%"
"Jan 18, 2023","2.518","2.592","2.638","2.463","-3.45%"
"Jan 17, 2023","2.608","2.772","2.780","2.590","-5.06%"
"Jan 16, 2023","2.747","2.728","2.795","2.710","0.04%"
"Jan 13, 2023","2.746","2.671","2.750","2.623","1.55%"
"Jan 12, 2023","2.704","2.712","2.777","2.629","-1.64%"
"Jan 11, 2023","2.749","2.850","2.862","2.739","-4.94%"
"Jan 10, 2023","2.892","2.850","2.914","2.842","2.92%"
"Jan 09, 2023","2.810","2.844","2.881","2.794","0.41%"
"Jan 06, 2023","2.799","2.882","2.912","2.757","-3.77%"
"Jan 05, 2023","2.908","2.904","2.953","2.848","1.57%"
"Jan 04, 2023","2.863","2.892","2.929","2.829","-3.67%"
"Jan 03, 2023","2.972","3.035","3.063","2.906","-1.52%"
"Jan 02, 2023","3.018","3.144","3.145","2.995","-2.49%"
"Dec 30, 2022","3.095","3.024","3.125","3.024","2.25%"
"Dec 29, 2022","3.027","3.068","3.088","3.024","-2.32%"
"Dec 28, 2022","3.099","3.114","3.114","3.034","-0.80%"
"Dec 27, 2022","3.124","3.044","3.140","3.016","4.64%"
"Dec 26, 2022","2.986","2.954","2.986","2.954","-0.42%"
"Dec 23, 2022","2.998","2.947","3.021","2.930","1.11%"
"Dec 22, 2022","2.965","2.886","2.990","2.858","2.60%"
"Dec 21, 2022","2.890","2.903","2.920","2.847","-0.34%"
"Dec 20, 2022","2.900","2.884","2.917","2.848","3.68%"
"Dec 19, 2022","2.797","2.783","2.829","2.744","1.49%"
"Dec 16, 2022","2.756","2.754","2.822","2.734","3.14%"
"Dec 15, 2022","2.672","2.571","2.720","2.491","5.49%"
"Dec 14, 2022","2.533","2.497","2.602","2.487","0.24%"
"Dec 13, 2022","2.527","2.539","2.588","2.431","-0.55%"
"Dec 12, 2022","2.541","2.514","2.550","2.465","1.03%"
"Dec 09, 2022","2.515","2.382","2.539","2.346","4.62%"
"Dec 08, 2022","2.404","2.382","2.435","2.346","1.09%"
"Dec 07, 2022","2.378","2.320","2.431","2.320","1.82%"
"Dec 06, 2022","2.336","2.431","2.477","2.335","-4.79%"
"Dec 05, 2022","2.453","2.458","2.476","2.377","1.62%"
"Dec 02, 2022","2.414","2.389","2.456","2.319","0.79%"
"Dec 01, 2022","2.395","2.422","2.477","2.362","-5.41%"
"Nov 30, 2022","2.532","2.554","2.568","2.485","0.72%"
"Nov 29, 2022","2.514","2.533","2.553","2.440","-2.56%"
"Nov 28, 2022","2.580","2.514","2.617","2.478","1.49%"
"Nov 25, 2022","2.542","2.453","2.572","2.433","5.30%"
"Nov 24, 2022","2.414","2.459","2.465","2.369","-3.90%"
"Nov 23, 2022","2.512","2.605","2.633","2.475","-2.26%"
"Nov 22, 2022","2.570","2.603","2.626","2.550","-0.31%"
"Nov 21, 2022","2.578","2.595","2.651","2.536","-0.48%"
"Nov 19, 2022","2.591","2.591","2.591","2.591","-0.63%"
"Nov 18, 2022","2.607","2.622","2.704","2.576","-0.53%"
"Nov 17, 2022","2.621","2.559","2.654","2.542","0.73%"
"Nov 16, 2022","2.602","2.717","2.738","2.577","-4.41%"
"Nov 15, 2022","2.722","2.743","2.786","2.659","-1.38%"
"Nov 14, 2022","2.760","2.782","2.836","2.711","-1.00%"
"Nov 11, 2022","2.788","2.705","2.816","2.666","4.54%"
"Nov 10, 2022","2.667","2.794","2.858","2.608","-5.53%"
"Nov 09, 2022","2.823","2.840","2.926","2.792","-3.65%"
"Nov 08, 2022","2.930","2.976","3.040","2.874","-1.41%"
"Nov 07, 2022","2.972","2.966","3.007","2.882","0.51%"
"Nov 04, 2022","2.957","2.865","2.976","2.826","2.32%"
"Nov 03, 2022","2.890","2.915","2.955","2.844","3.73%"
"Nov 02, 2022","2.786","2.790","2.826","2.747","-0.29%"
"Nov 01, 2022","2.794","2.769","2.820","2.665","-0.32%"
"Oct 31, 2022","2.803","2.742","2.816","2.724","3.24%"
"Oct 28, 2022","2.715","2.695","2.806","2.664","3.55%"
"Oct 27, 2022","2.622","2.844","2.902","2.602","-6.36%"
"Oct 26, 2022","2.800","2.835","2.910","2.785","-1.65%"
"Oct 25, 2022","2.847","2.947","2.993","2.836","-6.32%"
"Oct 24, 2022","3.039","3.043","3.147","2.992","-3.40%"
"Oct 21, 2022","3.146","3.189","3.246","3.117","1.13%"
"Oct 20, 2022","3.111","3.150","3.168","3.054","0.68%"
"Oct 19, 2022","3.090","3.018","3.093","3.018","3.24%"
"Oct 18, 2022","2.993","2.968","3.061","2.925","1.15%"
"Oct 17, 2022","2.959","2.987","2.987","2.896","-2.95%"
"Oct 14, 2022","3.049","2.828","3.068","2.824","3.25%"
"Oct 13, 2022","2.953","3.020","3.128","2.893","-2.67%"
"Oct 12, 2022","3.034","3.020","3.128","2.982","1.71%"
"Oct 11, 2022","2.983","3.012","3.086","2.956","-0.67%"
"Oct 10, 2022","3.003","2.874","3.030","2.806","4.20%"
"Oct 07, 2022","2.882","2.819","2.913","2.782","4.34%"
"Oct 06, 2022","2.762","2.718","2.800","2.666","1.54%"
"Oct 05, 2022","2.720","2.584","2.730","2.561","6.42%"
"Oct 04, 2022","2.556","2.506","2.586","2.439","-0.89%"
"Oct 03, 2022","2.579","2.809","2.839","2.560","-7.70%"
"Sep 30, 2022","2.794","2.820","2.947","2.713","-2.14%"
"Sep 29, 2022","2.855","2.820","2.947","2.805","3.03%"
"Sep 28, 2022","2.771","2.908","2.990","2.750","-2.91%"
"Sep 27, 2022","2.854","2.787","2.899","2.661","4.54%"
"Sep 26, 2022","2.730","2.744","2.774","2.678","2.40%"
"Sep 23, 2022","2.666","2.576","2.740","2.514","2.62%"
"Sep 22, 2022","2.598","2.520","2.621","2.426","4.72%"
"Sep 21, 2022","2.481","2.482","2.523","2.433","-1.63%"
"Sep 20, 2022","2.522","2.438","2.563","2.403","4.86%"
"Sep 19, 2022","2.405","2.335","2.420","2.326","3.17%"
"Sep 17, 2022","2.331","2.331","2.331","2.331","-0.17%"
"Sep 16, 2022","2.335","2.380","2.409","2.330","-0.04%"
"Sep 15, 2022","2.336","2.331","2.360","2.285","2.41%"
"Sep 14, 2022","2.281","2.290","2.367","2.254","-0.70%"
"Sep 13, 2022","2.297","2.247","2.344","2.207","8.91%"
"Sep 12, 2022","2.109","2.193","2.210","2.091","-1.72%"
