"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","2.931","2.891","2.945","2.854","1.68%"
"Feb 14, 2023","2.882","2.821","2.903","2.768","1.91%"
"Feb 13, 2023","2.828","2.842","2.869","2.799","-0.18%"
"Feb 10, 2023","2.833","2.831","2.850","2.786","2.35%"
"Feb 09, 2023","2.768","2.787","2.799","2.709","-1.70%"
"Feb 08, 2023","2.816","2.803","2.859","2.783","0.93%"
"Feb 07, 2023","2.790","2.744","2.802","2.744","1.45%"
"Feb 06, 2023","2.750","2.694","2.757","2.673","4.40%"
"Feb 03, 2023","2.634","2.533","2.672","2.520","4.90%"
"Feb 02, 2023","2.511","2.699","2.745","2.483","-9.02%"
"Feb 01, 2023","2.760","2.726","2.781","2.707","0.29%"
"Jan 31, 2023","2.752","2.772","2.796","2.719","-1.22%"
"Jan 30, 2023","2.786","2.678","2.800","2.665","3.11%"
"Jan 27, 2023","2.702","2.707","2.754","2.690","1.05%"
"Jan 26, 2023","2.674","2.613","2.684","2.586","2.81%"
"Jan 25, 2023","2.601","2.599","2.622","2.521","0.39%"
"Jan 24, 2023","2.591","2.650","2.675","2.589","-2.56%"
"Jan 23, 2023","2.659","2.631","2.676","2.598","1.53%"
"Jan 20, 2023","2.619","2.505","2.625","2.494","5.48%"
"Jan 19, 2023","2.483","2.442","2.533","2.413","1.35%"
"Jan 18, 2023","2.450","2.494","2.557","2.394","-3.28%"
"Jan 17, 2023","2.533","2.667","2.681","2.515","-3.98%"
"Jan 16, 2023","2.638","2.627","2.697","2.618","0.04%"
"Jan 13, 2023","2.637","2.605","2.641","2.546","0.50%"
"Jan 12, 2023","2.624","2.654","2.668","2.540","-1.83%"
"Jan 11, 2023","2.673","2.762","2.767","2.659","-4.60%"
"Jan 10, 2023","2.802","2.757","2.815","2.756","2.64%"
"Jan 09, 2023","2.730","2.738","2.796","2.713","0.26%"
"Jan 06, 2023","2.723","2.795","2.848","2.696","-3.85%"
"Jan 05, 2023","2.832","2.795","2.864","2.775","2.24%"
"Jan 04, 2023","2.770","2.890","2.899","2.761","-5.23%"
"Jan 03, 2023","2.923","3.016","3.024","2.865","-1.88%"
"Jan 02, 2023","2.979","3.096","3.118","2.962","-4.30%"
"Dec 30, 2022","3.113","3.012","3.118","2.989","4.57%"
"Dec 29, 2022","2.977","3.042","3.067","2.976","-2.36%"
"Dec 28, 2022","3.049","3.051","3.067","2.995","0.00%"
"Dec 27, 2022","3.049","2.974","3.066","2.962","4.24%"
"Dec 26, 2022","2.925","2.926","2.928","2.925","-0.14%"
"Dec 23, 2022","2.929","2.900","2.966","2.891","1.14%"
"Dec 22, 2022","2.896","2.832","2.926","2.806","1.97%"
"Dec 21, 2022","2.840","2.840","2.848","2.791","-0.07%"
"Dec 20, 2022","2.842","2.816","2.857","2.791","4.41%"
"Dec 19, 2022","2.722","2.671","2.744","2.671","1.99%"
"Dec 16, 2022","2.669","2.635","2.742","2.634","3.45%"
"Dec 15, 2022","2.580","2.473","2.624","2.391","6.44%"
"Dec 14, 2022","2.424","2.369","2.484","2.361","1.30%"
"Dec 13, 2022","2.393","2.439","2.460","2.309","-0.87%"
"Dec 12, 2022","2.414","2.403","2.424","2.341","0.92%"
"Dec 09, 2022","2.392","2.291","2.421","2.289","4.77%"
"Dec 08, 2022","2.283","2.247","2.312","2.225","1.87%"
"Dec 07, 2022","2.241","2.212","2.305","2.193","-0.36%"
"Dec 06, 2022","2.249","2.334","2.343","2.235","-3.27%"
"Dec 05, 2022","2.325","2.330","2.354","2.272","1.17%"
"Dec 02, 2022","2.298","2.266","2.339","2.217","1.41%"
"Dec 01, 2022","2.266","2.313","2.359","2.257","-5.86%"
"Nov 30, 2022","2.407","2.408","2.457","2.390","-5.36%"
"Nov 29, 2022","2.543","2.553","2.600","2.507","-3.18%"
"Nov 28, 2022","2.627","2.544","2.661","2.533","7.74%"
"Nov 25, 2022","2.438","2.299","2.459","2.299","6.18%"
"Nov 24, 2022","2.296","2.323","2.342","2.257","-3.65%"
"Nov 23, 2022","2.383","2.472","2.510","2.353","-2.69%"
"Nov 22, 2022","2.449","2.474","2.509","2.434","-0.45%"
"Nov 21, 2022","2.460","2.476","2.530","2.420","-0.79%"
"Nov 19, 2022","2.480","2.480","2.480","2.480","-0.38%"
"Nov 18, 2022","2.489","2.480","2.581","2.459","-0.68%"
"Nov 17, 2022","2.506","2.470","2.541","2.431","0.68%"
"Nov 16, 2022","2.489","2.611","2.618","2.473","-4.53%"
"Nov 15, 2022","2.607","2.651","2.678","2.547","-1.73%"
"Nov 14, 2022","2.653","2.668","2.690","2.608","-0.60%"
"Nov 11, 2022","2.669","2.528","2.680","2.516","6.63%"
"Nov 10, 2022","2.503","2.671","2.720","2.476","-6.88%"
"Nov 09, 2022","2.688","2.861","2.908","2.680","-3.86%"
"Nov 08, 2022","2.796","2.861","2.908","2.763","-2.31%"
"Nov 07, 2022","2.862","2.848","2.886","2.789","0.74%"
"Nov 04, 2022","2.841","2.794","2.860","2.734","2.30%"
"Nov 03, 2022","2.777","2.811","2.834","2.748","3.93%"
"Nov 02, 2022","2.672","2.672","2.708","2.647","-0.04%"
"Nov 01, 2022","2.673","2.655","2.698","2.558","-0.45%"
"Oct 31, 2022","2.685","2.631","2.705","2.621","3.03%"
"Oct 28, 2022","2.606","2.497","2.675","2.483","5.98%"
"Oct 27, 2022","2.459","2.675","2.755","2.454","-7.97%"
"Oct 26, 2022","2.672","2.716","2.753","2.644","-0.74%"
"Oct 25, 2022","2.692","2.792","2.819","2.684","-6.10%"
"Oct 24, 2022","2.867","2.880","2.992","2.835","-4.05%"
"Oct 21, 2022","2.988","3.032","3.092","2.964","1.15%"
"Oct 20, 2022","2.954","2.999","3.034","2.910","-0.03%"
"Oct 19, 2022","2.955","2.879","2.959","2.867","3.58%"
"Oct 18, 2022","2.853","2.833","2.950","2.793","0.07%"
"Oct 17, 2022","2.851","2.896","2.913","2.806","-3.09%"
"Oct 14, 2022","2.942","2.788","2.964","2.737","2.51%"
"Oct 13, 2022","2.870","2.932","3.023","2.812","-2.84%"
"Oct 12, 2022","2.954","2.911","3.029","2.883","2.25%"
"Oct 11, 2022","2.889","2.897","2.972","2.865","-0.62%"
"Oct 10, 2022","2.907","2.804","2.934","2.747","3.97%"
"Oct 07, 2022","2.796","2.739","2.825","2.717","4.06%"
"Oct 06, 2022","2.687","2.627","2.716","2.601","1.90%"
"Oct 05, 2022","2.637","2.478","2.651","2.471","6.50%"
"Oct 04, 2022","2.476","2.481","2.497","2.366","-0.68%"
"Oct 03, 2022","2.493","2.722","2.774","2.484","-8.38%"
"Sep 30, 2022","2.721","2.771","2.783","2.672","-3.20%"
"Sep 29, 2022","2.811","2.814","2.902","2.773","1.96%"
"Sep 28, 2022","2.757","2.859","2.954","2.735","-2.61%"
"Sep 27, 2022","2.831","2.732","2.862","2.646","4.97%"
"Sep 26, 2022","2.697","2.679","2.723","2.641","3.61%"
"Sep 23, 2022","2.603","2.537","2.675","2.468","2.84%"
"Sep 22, 2022","2.531","2.457","2.558","2.378","3.64%"
"Sep 21, 2022","2.442","2.439","2.465","2.395","-1.93%"
"Sep 20, 2022","2.490","2.357","2.507","2.355","5.96%"
"Sep 19, 2022","2.350","2.317","2.375","2.289","2.09%"
"Sep 17, 2022","2.302","2.302","2.302","2.302","0.04%"
"Sep 16, 2022","2.301","2.366","2.369","2.295","0.13%"
"Sep 15, 2022","2.298","2.298","2.328","2.250","1.50%"
"Sep 14, 2022","2.264","2.270","2.348","2.244","-1.14%"
"Sep 13, 2022","2.290","2.228","2.320","2.203","3.01%"
"Sep 12, 2022","2.223","2.314","2.330","2.208","-1.77%"
"Sep 09, 2022","2.263","2.321","2.358","2.205","0.44%"
"Sep 08, 2022","2.253","2.109","2.274","2.101","4.60%"
"Sep 07, 2022","2.154","2.203","2.233","2.123","-2.36%"
"Sep 06, 2022","2.206","2.193","2.246","2.084","0.87%"
"Sep 05, 2022","2.187","2.119","2.219","2.107","1.48%"
"Sep 02, 2022","2.155","2.158","2.226","2.098","-1.37%"
"Sep 01, 2022","2.185","2.205","2.260","2.171","1.63%"
"Aug 31, 2022","2.150","2.113","2.210","2.075","1.22%"
"Aug 30, 2022","2.124","2.094","2.169","2.054","-0.28%"
"Aug 29, 2022","2.130","2.144","2.180","2.082","6.02%"
"Aug 26, 2022","2.009","1.931","2.060","1.924","3.88%"
"Aug 25, 2022","1.934","1.984","1.993","1.927","-2.47%"
"Aug 24, 2022","1.983","1.956","2.018","1.916","3.61%"
"Aug 23, 2022","1.914","1.874","1.979","1.831","0.47%"
"Aug 22, 2022","1.905","1.783","1.905","1.756","5.42%"
"Aug 19, 2022","1.807","1.739","1.826","1.727","7.69%"
"Aug 18, 2022","1.678","1.674","1.732","1.634","1.39%"
"Aug 17, 2022","1.655","1.554","1.691","1.535","7.47%"
"Aug 16, 2022","1.540","1.460","1.576","1.456","4.98%"
"Aug 15, 2022","1.467","1.539","1.576","1.444","-5.23%"
"Aug 12, 2022","1.548","1.554","1.598","1.517","1.11%"
"Aug 11, 2022","1.531","1.477","1.554","1.412","5.15%"
"Aug 10, 2022","1.456","1.500","1.500","1.389","-1.49%"
"Aug 09, 2022","1.478","1.454","1.521","1.409","2.71%"
"Aug 08, 2022","1.439","1.462","1.485","1.411","-3.75%"
"Aug 05, 2022","1.495","1.350","1.503","1.346","9.77%"
"Aug 04, 2022","1.362","1.429","1.461","1.335","-5.42%"
"Aug 03, 2022","1.440","1.401","1.493","1.371","4.42%"
"Aug 02, 2022","1.379","1.314","1.396","1.249","2.45%"
"Aug 01, 2022","1.346","1.394","1.452","1.328","-2.11%"
"Jul 30, 2022","1.375","1.375","1.375","1.375","-0.72%"
"Jul 29, 2022","1.385","1.389","1.494","1.367","0.80%"
"Jul 28, 2022","1.374","1.580","1.590","1.369","-10.61%"
"Jul 27, 2022","1.537","1.529","1.576","1.511","0.79%"
"Jul 26, 2022","1.525","1.618","1.626","1.501","-5.40%"
"Jul 25, 2022","1.612","1.659","1.689","1.610","-0.49%"
"Jul 22, 2022","1.620","1.791","1.800","1.565","-10.69%"
"Jul 21, 2022","1.814","1.870","1.960","1.784","-1.14%"
"Jul 20, 2022","1.835","1.839","1.858","1.748","-0.97%"
"Jul 19, 2022","1.853","1.781","1.884","1.761","1.98%"
"Jul 18, 2022","1.817","1.770","1.859","1.768","9.49%"
"Jul 16, 2022","1.660","1.660","1.660","1.660","0.09%"
"Jul 15, 2022","1.658","1.667","1.715","1.619","-1.60%"
"Jul 14, 2022","1.685","1.688","1.792","1.663","1.20%"
"Jul 13, 2022","1.665","1.675","1.748","1.628","1.22%"
"Jul 12, 2022","1.645","1.781","1.795","1.611","-7.43%"
"Jul 11, 2022","1.777","1.863","1.863","1.745","-5.35%"
"Jul 09, 2022","1.878","1.878","1.878","1.878","-0.35%"
"Jul 08, 2022","1.884","1.839","1.894","1.797","1.67%"
"Jul 07, 2022","1.853","1.816","1.894","1.799","5.10%"
"Jul 06, 2022","1.763","1.817","1.857","1.681","-2.60%"
"Jul 05, 2022","1.810","1.913","1.945","1.786","-6.51%"
"Jul 04, 2022","1.936","1.852","1.950","1.827","7.98%"
"Jul 01, 2022","1.793","1.955","2.011","1.721","-8.38%"
"Jun 30, 2022","1.957","2.051","2.090","1.928","-5.14%"
"Jun 29, 2022","2.063","2.092","2.197","2.047","-5.24%"
"Jun 28, 2022","2.177","2.075","2.217","2.074","4.61%"
"Jun 27, 2022","2.081","1.998","2.120","1.985","5.74%"
"Jun 25, 2022","1.968","1.968","1.968","1.968","-0.15%"
"Jun 24, 2022","1.971","1.988","2.050","1.898","0.00%"
"Jun 23, 2022","1.971","2.196","2.210","1.937","-8.92%"
"Jun 22, 2022","2.164","2.284","2.308","2.135","-7.44%"
"Jun 21, 2022","2.338","2.297","2.371","2.272","0.86%"
"Jun 20, 2022","2.318","2.254","2.328","2.186","5.41%"
"Jun 19, 2022","2.199","2.199","2.199","2.199","-0.32%"
"Jun 17, 2022","2.206","2.233","2.340","2.141","-2.30%"
"Jun 16, 2022","2.258","2.207","2.484","2.198","1.48%"
"Jun 15, 2022","2.225","2.312","2.362","2.143","-7.10%"
"Jun 14, 2022","2.395","2.229","2.219","2.219","6.78%"
"Jun 13, 2022","2.243","2.105","2.260","2.105","7.17%"
"Jun 10, 2022","2.093","1.995","2.097","1.954","5.55%"
"Jun 09, 2022","1.983","1.876","2.016","1.847","5.82%"
"Jun 08, 2022","1.874","1.833","1.897","1.815","3.54%"
"Jun 07, 2022","1.810","1.859","1.873","1.787","-1.63%"
"Jun 06, 2022","1.840","1.777","1.858","1.758","2.22%"
"Jun 03, 2022","1.800","1.749","1.822","1.746","2.16%"
"Jun 02, 2022","1.762","1.704","1.776","1.698","3.46%"
"Jun 01, 2022","1.703","1.629","1.708","1.622","3.53%"
"May 31, 2022","1.645","1.594","1.674","1.538","5.25%"
"May 30, 2022","1.563","1.526","1.594","1.523","6.07%"
"May 29, 2022","1.474","1.474","1.474","1.474","-0.37%"
"May 27, 2022","1.479","1.500","1.526","1.446","-2.25%"
"May 26, 2022","1.513","1.472","1.528","1.406","2.02%"
"May 25, 2022","1.483","1.489","1.512","1.438","-0.94%"
"May 24, 2022","1.497","1.530","1.566","1.473","-2.60%"
"May 23, 2022","1.537","1.489","1.556","1.455","4.49%"
"May 20, 2022","1.471","1.491","1.515","1.450","0.41%"
"May 19, 2022","1.465","1.535","1.552","1.406","-4.12%"
"May 18, 2022","1.528","1.563","1.598","1.504","-1.04%"
"May 17, 2022","1.544","1.499","1.577","1.476","6.48%"
"May 16, 2022","1.450","1.459","1.534","1.438","-0.07%"
"May 14, 2022","1.451","1.451","1.451","1.451","-0.34%"
"May 13, 2022","1.456","1.409","1.481","1.385","5.89%"
"May 12, 2022","1.375","1.430","1.451","1.368","-8.09%"
"May 11, 2022","1.496","1.559","1.627","1.476","-3.42%"
"May 10, 2022","1.549","1.630","1.658","1.517","-4.74%"
"May 09, 2022","1.626","1.648","1.721","1.625","-2.40%"
"May 06, 2022","1.666","1.549","1.688","1.543","6.11%"
"May 05, 2022","1.570","1.491","1.574","1.419","4.04%"
"May 04, 2022","1.509","1.545","1.556","1.488","2.10%"
"May 03, 2022","1.478","1.500","1.544","1.434","-1.47%"
"May 02, 2022","1.500","1.462","1.509","1.427","2.53%"
"Apr 29, 2022","1.463","1.378","1.479","1.366","4.35%"
"Apr 28, 2022","1.402","1.306","1.422","1.260","7.60%"
"Apr 27, 2022","1.303","1.321","1.358","1.290","-0.69%"
"Apr 26, 2022","1.312","1.364","1.367","1.288","0.23%"
"Apr 25, 2022","1.309","1.391","1.403","1.301","-8.27%"
"Apr 22, 2022","1.427","1.395","1.431","1.369","1.42%"
"Apr 21, 2022","1.407","1.368","1.410","1.330","5.16%"
"Apr 20, 2022","1.338","1.410","1.423","1.311","-3.88%"
"Apr 19, 2022","1.392","1.344","1.433","1.329","4.62%"
"Apr 18, 2022","1.331","1.337","1.337","1.331","0.00%"
"Apr 15, 2022","1.331","1.337","1.337","1.331","-0.86%"
"Apr 14, 2022","1.342","1.289","1.350","1.236","5.50%"
"Apr 13, 2022","1.272","1.360","1.373","1.257","-2.08%"
"Apr 12, 2022","1.299","1.339","1.377","1.260","-1.29%"
"Apr 11, 2022","1.316","1.259","1.322","1.246","4.53%"
"Apr 08, 2022","1.259","1.218","1.296","1.207","3.54%"
"Apr 07, 2022","1.216","1.187","1.257","1.137","3.58%"
"Apr 06, 2022","1.174","1.160","1.237","1.153","1.73%"
"Apr 05, 2022","1.154","1.049","1.170","1.034","14.37%"
"Apr 04, 2022","1.009","1.058","1.067","0.962","-1.08%"
"Apr 01, 2022","1.020","1.029","1.076","1.003","3.55%"
"Mar 31, 2022","0.985","1.076","1.089","0.959","-8.54%"
"Mar 30, 2022","1.077","1.055","1.147","1.043","1.13%"
"Mar 29, 2022","1.065","1.041","1.157","1.016","6.50%"
"Mar 28, 2022","1.000","1.036","1.063","0.976","-0.99%"
"Mar 25, 2022","1.010","0.985","1.023","0.931","2.75%"
"Mar 24, 2022","0.983","0.947","1.016","0.910","5.70%"
"Mar 23, 2022","0.930","0.970","0.976","0.916","-3.12%"
"Mar 22, 2022","0.960","0.934","0.992","0.931","4.80%"
"Mar 21, 2022","0.916","0.865","0.923","0.847","9.70%"
"Mar 18, 2022","0.835","0.849","0.860","0.796","-0.36%"
"Mar 17, 2022","0.838","0.861","0.868","0.813","-1.64%"
"Mar 16, 2022","0.852","0.850","0.871","0.819","5.32%"
"Mar 15, 2022","0.809","0.828","0.847","0.792","-3.58%"
"Mar 14, 2022","0.839","0.766","0.854","0.752","14.77%"
"Mar 11, 2022","0.731","0.747","0.794","0.728","-2.27%"
"Mar 10, 2022","0.748","0.640","0.779","0.604","15.61%"
"Mar 09, 2022","0.647","0.564","0.667","0.532","15.74%"
"Mar 08, 2022","0.559","0.467","0.582","0.458","17.19%"
"Mar 07, 2022","0.477","0.445","0.494","0.410","11.45%"
"Mar 04, 2022","0.428","0.483","0.502","0.409","-13.54%"
"Mar 03, 2022","0.495","0.473","0.551","0.463","3.34%"
"Mar 02, 2022","0.479","0.387","0.483","0.371","36.86%"
"Mar 01, 2022","0.350","0.601","0.610","0.349","-43.18%"
"Feb 28, 2022","0.616","0.654","0.703","0.613","-12.99%"
"Feb 25, 2022","0.708","0.676","0.715","0.644","6.95%"
"Feb 24, 2022","0.662","0.669","0.704","0.641","-9.07%"
"Feb 23, 2022","0.728","0.741","0.763","0.724","-1.22%"
"Feb 22, 2022","0.737","0.664","0.775","0.664","2.93%"
"Feb 21, 2022","0.716","0.714","0.733","0.681","4.37%"
"Feb 18, 2022","0.686","0.715","0.720","0.683","-2.14%"
"Feb 17, 2022","0.701","0.736","0.758","0.697","-6.78%"
"Feb 16, 2022","0.752","0.795","0.803","0.729","-4.08%"
"Feb 15, 2022","0.784","0.743","0.802","0.739","2.89%"
"Feb 14, 2022","0.762","0.714","0.766","0.679","-1.30%"
"Feb 11, 2022","0.772","0.752","0.774","0.719","2.93%"
"Feb 10, 2022","0.750","0.687","0.762","0.674","11.94%"
"Feb 09, 2022","0.670","0.692","0.699","0.657","-6.69%"
"Feb 08, 2022","0.718","0.698","0.737","0.651","6.53%"
"Feb 07, 2022","0.674","0.629","0.705","0.625","3.85%"
"Feb 04, 2022","0.649","0.594","0.672","0.590","10.56%"
"Feb 03, 2022","0.587","0.453","0.596","0.444","31.32%"
"Feb 02, 2022","0.447","0.441","0.469","0.416","-0.89%"
"Feb 01, 2022","0.451","0.414","0.458","0.396","5.62%"
"Jan 31, 2022","0.427","0.373","0.441","0.360","16.99%"
"Jan 28, 2022","0.365","0.360","0.405","0.352","5.80%"
"Jan 27, 2022","0.345","0.374","0.391","0.343","0.00%"
"Jan 26, 2022","0.345","0.327","0.353","0.324","3.60%"
"Jan 25, 2022","0.333","0.320","0.338","0.306","8.47%"
"Jan 24, 2022","0.307","0.329","0.331","0.294","-7.25%"
"Jan 21, 2022","0.331","0.338","0.351","0.310","-8.82%"
"Jan 20, 2022","0.363","0.387","0.387","0.344","-3.20%"
"Jan 19, 2022","0.375","0.393","0.412","0.372","1.90%"
"Jan 18, 2022","0.368","0.371","0.379","0.350","2.79%"
"Jan 17, 2022","0.358","0.351","0.359","0.341","7.83%"
"Jan 14, 2022","0.332","0.282","0.334","0.274","37.19%"
"Jan 13, 2022","0.242","0.281","0.298","0.228","-11.68%"
"Jan 12, 2022","0.274","0.292","0.304","0.248","-8.05%"
"Jan 11, 2022","0.298","0.284","0.313","0.269","4.56%"
"Jan 10, 2022","0.285","0.292","0.306","0.268","-1.38%"
"Jan 07, 2022","0.289","0.272","0.296","0.259","11.58%"
"Jan 06, 2022","0.259","0.252","0.289","0.244","9.75%"
"Jan 05, 2022","0.236","0.233","0.241","0.220","0.85%"
"Jan 04, 2022","0.234","0.234","0.241","0.200","1.30%"
"Jan 03, 2022","0.231","0.208","0.245","0.177","19.07%"
"Dec 31, 2021","0.194","0.192","0.194","0.192","-2.51%"
"Dec 30, 2021","0.199","0.189","0.206","0.167","2.58%"
"Dec 29, 2021","0.194","0.127","0.201","0.125","56.45%"
"Dec 28, 2021","0.124","0.129","0.154","0.122","-2.36%"
"Dec 27, 2021","0.127","0.122","0.153","0.119","6.72%"
"Dec 24, 2021","0.119","0.119","0.119","0.119","0.85%"
"Dec 23, 2021","0.118","0.088","0.138","0.082","53.25%"
