"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","4.234","4.186","4.246","4.167","0.13%"
"Feb 14, 2023","4.228","4.276","4.276","4.176","0.28%"
"Feb 13, 2023","4.216","4.276","4.303","4.200","0.09%"
"Feb 10, 2023","4.212","4.245","4.290","4.177","1.27%"
"Feb 09, 2023","4.159","4.219","4.261","4.147","-2.00%"
"Feb 08, 2023","4.244","4.274","4.274","4.200","0.76%"
"Feb 07, 2023","4.212","4.201","4.227","4.132","1.25%"
"Feb 06, 2023","4.160","4.021","4.176","4.021","3.48%"
"Feb 03, 2023","4.020","4.033","4.100","3.932","-1.98%"
"Feb 02, 2023","4.101","4.346","4.347","4.075","-4.83%"
"Feb 01, 2023","4.309","4.327","4.329","4.293","-0.25%"
"Jan 31, 2023","4.320","4.373","4.375","4.281","0.30%"
"Jan 30, 2023","4.307","4.283","4.324","4.244","1.01%"
"Jan 27, 2023","4.264","4.223","4.299","4.210","1.14%"
"Jan 26, 2023","4.216","4.258","4.258","4.206","-0.05%"
"Jan 25, 2023","4.218","4.218","4.218","4.218","1.05%"
"Jan 24, 2023","4.174","4.203","4.205","4.156","-0.55%"
"Jan 23, 2023","4.197","4.173","4.204","4.122","1.65%"
"Jan 20, 2023","4.129","4.021","4.137","3.894","2.41%"
"Jan 19, 2023","4.032","4.061","4.066","3.950","0.98%"
"Jan 18, 2023","3.993","4.189","4.193","3.980","-4.70%"
"Jan 17, 2023","4.190","4.169","4.258","4.149","1.04%"
"Jan 16, 2023","4.147","4.171","4.239","4.102","1.44%"
"Jan 13, 2023","4.088","4.094","4.101","4.024","1.09%"
"Jan 12, 2023","4.044","4.210","4.211","4.018","-3.53%"
"Jan 11, 2023","4.192","4.338","4.367","4.180","-4.29%"
"Jan 10, 2023","4.380","4.432","4.432","4.373","-1.60%"
"Jan 09, 2023","4.451","4.374","4.487","4.372","2.43%"
"Jan 06, 2023","4.345","4.396","4.431","4.321","-2.35%"
"Jan 05, 2023","4.450","4.537","4.540","4.418","-1.29%"
"Jan 04, 2023","4.508","4.635","4.635","4.500","-2.36%"
"Jan 03, 2023","4.617","4.666","4.699","4.610","-0.88%"
