"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","8.150","8.150","8.150","8.150","-0.73%"
"Feb 14, 2023","8.210","8.210","8.210","8.210","-0.73%"
"Feb 13, 2023","8.270","8.270","8.270","8.270","1.85%"
"Feb 10, 2023","8.120","8.120","8.120","8.120","3.70%"
"Feb 09, 2023","7.830","7.830","7.830","7.830","-3.69%"
"Feb 08, 2023","8.130","8.130","8.130","8.130","-0.12%"
"Feb 07, 2023","8.140","8.140","8.140","8.140","0.12%"
"Feb 06, 2023","8.130","8.130","8.130","8.130","3.96%"
"Feb 03, 2023","7.820","7.820","7.820","7.820","-1.01%"
"Feb 02, 2023","7.900","7.900","7.900","7.900","-1.86%"
"Feb 01, 2023","8.050","8.050","8.050","8.050","-0.62%"
"Jan 31, 2023","8.100","8.100","8.100","8.100","2.40%"
"Jan 27, 2023","7.910","7.910","7.910","7.910","2.20%"
"Jan 26, 2023","7.740","7.740","7.740","7.740","2.93%"
"Jan 25, 2023","7.520","7.520","7.520","7.520","-0.40%"
"Jan 24, 2023","7.550","7.550","7.550","7.550","-1.18%"
"Jan 23, 2023","7.640","7.640","7.640","7.640","0.79%"
"Jan 20, 2023","7.580","7.580","7.580","7.580","1.20%"
"Jan 19, 2023","7.490","7.490","7.490","7.490","2.18%"
"Jan 18, 2023","7.330","7.330","7.330","7.330","-6.39%"
"Jan 17, 2023","7.830","7.830","7.830","7.830","3.98%"
"Jan 16, 2023","7.530","7.530","7.530","7.530","3.15%"
"Jan 13, 2023","7.300","7.300","7.300","7.300","-2.80%"
"Jan 12, 2023","7.510","7.510","7.510","7.510","-3.96%"
"Jan 11, 2023","7.820","7.820","7.820","7.820","-1.88%"
"Jan 10, 2023","7.970","7.970","7.970","7.970","-0.50%"
"Jan 09, 2023","8.010","8.010","8.010","8.010","-0.50%"
"Jan 06, 2023","8.050","8.050","8.050","8.050","-1.35%"
"Jan 05, 2023","8.160","8.160","8.160","8.160","-4.23%"
"Jan 04, 2023","8.520","8.520","8.520","8.520","-5.23%"
"Jan 03, 2023","8.990","8.990","8.990","8.990","-2.60%"
"Jan 02, 2023","9.230","9.230","9.230","9.230","-0.22%"
"Dec 29, 2022","9.250","9.250","9.250","9.250","4.64%"
"Dec 28, 2022","8.840","8.840","8.840","8.840","-0.34%"
"Dec 27, 2022","8.870","8.870","8.870","8.870","0.80%"
"Dec 23, 2022","8.800","8.800","8.800","8.800","-0.56%"
"Dec 21, 2022","8.850","8.850","8.850","8.850","1.26%"
"Dec 20, 2022","8.740","8.740","8.740","8.740","1.98%"
"Dec 19, 2022","8.570","8.570","8.570","8.570","-0.35%"
"Dec 16, 2022","8.600","8.600","8.600","8.600","1.06%"
"Dec 15, 2022","8.510","8.510","8.510","8.510","-2.30%"
"Dec 14, 2022","8.710","8.710","8.710","8.710","0.81%"
"Dec 13, 2022","8.640","8.640","8.640","8.640","-7.79%"
"Dec 12, 2022","9.370","9.370","9.370","9.370","1.19%"
"Dec 09, 2022","9.260","9.260","9.260","9.260","4.28%"
"Dec 08, 2022","8.880","8.880","8.880","8.880","2.78%"
