"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","6.744","6.771","6.771","6.734","-0.40%"
"Feb 14, 2023","6.771","6.737","6.771","6.737","0.50%"
"Feb 13, 2023","6.737","6.737","6.737","6.737","0.00%"
"Feb 10, 2023","6.737","6.722","6.737","6.722","0.22%"
"Feb 09, 2023","6.722","6.661","6.731","6.661","0.92%"
"Feb 08, 2023","6.661","6.569","6.677","6.569","1.40%"
"Feb 07, 2023","6.569","6.610","6.619","6.569","-0.62%"
"Feb 06, 2023","6.610","6.524","6.610","6.524","1.32%"
"Feb 03, 2023","6.524","6.645","6.645","6.495","-1.82%"
"Feb 02, 2023","6.645","6.637","6.653","6.637","0.12%"
"Feb 01, 2023","6.637","6.603","6.642","6.603","0.51%"
"Jan 31, 2023","6.603","6.603","6.603","6.603","0.00%"
"Jan 30, 2023","6.603","6.487","6.603","6.487","1.79%"
"Jan 27, 2023","6.487","6.454","6.487","6.454","0.51%"
"Jan 26, 2023","6.454","6.392","6.454","6.392","0.97%"
"Jan 25, 2023","6.392","6.365","6.392","6.365","0.42%"
"Jan 24, 2023","6.365","6.329","6.365","6.329","0.57%"
"Jan 23, 2023","6.329","6.320","6.329","6.320","0.59%"
"Jan 20, 2023","6.292","6.308","6.317","6.292","-0.25%"
"Jan 19, 2023","6.308","6.394","6.394","6.308","-1.35%"
"Jan 18, 2023","6.394","6.389","6.406","6.389","0.08%"
"Jan 17, 2023","6.389","6.401","6.408","6.389","-0.19%"
"Jan 16, 2023","6.401","6.391","6.401","6.391","0.16%"
"Jan 13, 2023","6.391","6.332","6.391","6.332","0.93%"
"Jan 12, 2023","6.332","6.364","6.364","6.332","-0.50%"
"Jan 11, 2023","6.364","6.303","6.381","6.303","0.97%"
"Jan 10, 2023","6.303","6.316","6.316","6.283","-0.21%"
"Jan 09, 2023","6.316","6.291","6.316","6.291","0.40%"
"Jan 06, 2023","6.291","6.339","6.339","6.291","-0.76%"
"Jan 05, 2023","6.339","6.356","6.356","6.315","-0.27%"
"Jan 04, 2023","6.356","6.372","6.372","6.323","-0.25%"
"Jan 03, 2023","6.372","6.445","6.445","6.372","-1.13%"
"Jan 02, 2023","6.445","6.348","6.445","6.348","1.53%"
"Dec 30, 2022","6.348","6.347","6.348","6.347","0.02%"
"Dec 29, 2022","6.347","6.307","6.347","6.307","0.63%"
"Dec 28, 2022","6.307","6.280","6.307","6.280","0.43%"
"Dec 27, 2022","6.280","6.243","6.280","6.243","0.59%"
"Dec 26, 2022","6.243","6.243","6.243","6.243","0.00%"
"Dec 23, 2022","6.243","6.243","6.243","6.243","0.00%"
"Dec 22, 2022","6.243","6.169","6.243","6.169","1.20%"
"Dec 21, 2022","6.169","6.242","6.242","6.169","-1.17%"
"Dec 20, 2022","6.242","6.146","6.242","6.146","1.56%"
"Dec 19, 2022","6.146","6.139","6.146","6.139","0.11%"
"Dec 16, 2022","6.139","6.195","6.199","6.139","-0.90%"
"Dec 15, 2022","6.195","6.258","6.258","6.179","-1.01%"
"Dec 14, 2022","6.258","6.195","6.258","6.195","1.02%"
"Dec 13, 2022","6.195","6.249","6.331","6.195","-0.86%"
"Dec 12, 2022","6.249","6.234","6.249","6.234","0.24%"
"Dec 09, 2022","6.234","6.222","6.234","6.222","0.19%"
"Dec 08, 2022","6.222","6.180","6.222","6.179","0.68%"
"Dec 07, 2022","6.180","6.150","6.182","6.150","0.49%"
"Dec 06, 2022","6.150","6.130","6.150","6.130","0.33%"
"Dec 05, 2022","6.130","6.226","6.226","6.130","-1.54%"
"Dec 02, 2022","6.226","6.163","6.226","6.147","1.02%"
"Dec 01, 2022","6.163","6.298","6.298","6.163","-2.14%"
"Nov 30, 2022","6.298","6.242","6.306","6.242","0.90%"
"Nov 29, 2022","6.242","6.291","6.291","6.241","-0.78%"
"Nov 28, 2022","6.291","6.330","6.330","6.290","-0.62%"
"Nov 25, 2022","6.330","6.371","6.371","6.330","-0.64%"
"Nov 24, 2022","6.371","6.323","6.386","6.323","0.76%"
"Nov 23, 2022","6.323","6.312","6.323","6.312","0.17%"
"Nov 22, 2022","6.312","6.394","6.394","6.312","-1.28%"
"Nov 21, 2022","6.394","6.433","6.434","6.394","-0.61%"
"Nov 18, 2022","6.433","6.426","6.433","6.426","0.11%"
"Nov 17, 2022","6.426","6.416","6.426","6.416","0.16%"
"Nov 16, 2022","6.416","6.331","6.418","6.331","1.34%"
"Nov 15, 2022","6.331","6.346","6.402","6.331","-0.24%"
"Nov 14, 2022","6.346","6.322","6.346","6.322","0.38%"
"Nov 11, 2022","6.322","6.314","6.322","6.314","0.13%"
"Nov 10, 2022","6.314","6.370","6.370","6.314","-0.88%"
"Nov 09, 2022","6.370","6.377","6.377","6.368","-0.11%"
"Nov 08, 2022","6.377","6.377","6.377","6.377","1.46%"
"Nov 07, 2022","6.285","6.259","6.285","6.259","0.42%"
"Nov 04, 2022","6.259","6.283","6.283","6.259","-0.38%"
"Nov 03, 2022","6.283","6.174","6.283","6.174","1.77%"
"Nov 02, 2022","6.174","6.171","6.174","6.171","0.05%"
"Nov 01, 2022","6.171","6.203","6.203","6.171","-0.52%"
"Oct 31, 2022","6.203","6.203","6.203","6.203","0.00%"
"Oct 28, 2022","6.203","6.197","6.203","6.197","0.10%"
"Oct 27, 2022","6.197","5.946","6.197","5.946","4.22%"
"Oct 26, 2022","5.946","5.954","5.954","5.946","-0.13%"
"Oct 25, 2022","5.954","6.031","6.031","5.954","-1.28%"
"Oct 24, 2022","6.031","6.031","6.031","6.031","0.00%"
"Oct 21, 2022","6.031","5.925","6.055","5.925","1.79%"
"Oct 20, 2022","5.925","5.863","5.925","5.863","1.06%"
"Oct 19, 2022","5.863","5.753","5.866","5.753","1.91%"
"Oct 18, 2022","5.753","5.832","5.847","5.753","-1.35%"
"Oct 17, 2022","5.832","5.851","5.851","5.832","-0.32%"
"Oct 14, 2022","5.851","5.925","5.925","5.848","-1.25%"
"Oct 13, 2022","5.925","5.899","5.925","5.898","0.44%"
"Oct 12, 2022","5.899","5.890","5.899","5.866","0.15%"
"Oct 11, 2022","5.890","5.788","5.890","5.788","1.76%"
"Oct 10, 2022","5.788","5.792","5.792","5.788","-0.07%"
"Oct 07, 2022","5.792","5.758","5.792","5.758","0.59%"
"Oct 06, 2022","5.758","5.688","5.758","5.688","1.23%"
"Oct 05, 2022","5.688","5.763","5.763","5.612","-1.30%"
"Oct 04, 2022","5.763","5.751","5.763","5.676","0.21%"
"Oct 03, 2022","5.751","5.895","5.895","5.751","-2.44%"
"Sep 30, 2022","5.895","5.903","5.903","5.895","-0.14%"
"Sep 29, 2022","5.903","5.927","5.927","5.903","-0.40%"
"Sep 28, 2022","5.927","6.003","6.003","5.927","-1.27%"
"Sep 27, 2022","6.003","5.903","6.003","5.903","1.69%"
"Sep 26, 2022","5.903","5.926","5.926","5.903","-0.39%"
"Sep 23, 2022","5.926","5.992","5.998","5.926","-1.10%"
"Sep 22, 2022","5.992","5.758","5.992","5.758","4.06%"
"Sep 21, 2022","5.758","5.806","5.806","5.733","-0.83%"
"Sep 20, 2022","5.806","5.736","5.806","5.736","2.31%"
"Sep 19, 2022","5.675","5.664","5.675","5.664","0.19%"
"Sep 16, 2022","5.664","5.641","5.664","5.641","0.41%"
"Sep 15, 2022","5.641","5.724","5.724","5.641","-1.45%"
"Sep 14, 2022","5.724","5.717","5.724","5.717","0.12%"
"Sep 13, 2022","5.717","5.608","5.717","5.598","1.94%"
"Sep 12, 2022","5.608","5.760","5.767","5.608","-2.64%"
"Sep 09, 2022","5.760","5.739","5.760","5.714","0.37%"
"Sep 08, 2022","5.739","5.887","5.887","5.739","-2.51%"
