"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","2.920","2.855","2.936","2.846","1.13%"
"Feb 14, 2023","2.888","2.780","2.893","2.759","2.65%"
"Feb 13, 2023","2.813","2.830","2.847","2.793","-0.07%"
"Feb 10, 2023","2.815","2.795","2.830","2.773","2.25%"
"Feb 09, 2023","2.753","2.750","2.758","2.695","-1.08%"
"Feb 08, 2023","2.783","2.767","2.824","2.761","0.07%"
"Feb 07, 2023","2.781","2.728","2.781","2.718","1.91%"
"Feb 06, 2023","2.729","2.661","2.731","2.653","4.60%"
"Feb 03, 2023","2.609","2.517","2.640","2.507","5.54%"
"Feb 02, 2023","2.472","2.677","2.707","2.458","-9.22%"
"Feb 01, 2023","2.723","2.725","2.749","2.690","-1.20%"
"Jan 31, 2023","2.756","2.753","2.798","2.733","-1.50%"
"Jan 30, 2023","2.798","2.655","2.804","2.655","4.09%"
"Jan 27, 2023","2.688","2.684","2.732","2.680","1.13%"
"Jan 26, 2023","2.658","2.579","2.669","2.570","2.51%"
"Jan 25, 2023","2.593","2.565","2.599","2.512","0.74%"
"Jan 24, 2023","2.574","2.610","2.638","2.563","-1.45%"
"Jan 23, 2023","2.612","2.612","2.633","2.566","1.01%"
"Jan 20, 2023","2.586","2.464","2.598","2.460","5.16%"
"Jan 19, 2023","2.459","2.403","2.482","2.372","1.74%"
"Jan 18, 2023","2.417","2.465","2.501","2.356","-3.40%"
"Jan 17, 2023","2.502","2.620","2.625","2.471","-3.84%"
"Jan 16, 2023","2.602","2.582","2.652","2.576","0.35%"
"Jan 13, 2023","2.593","2.555","2.599","2.510","0.78%"
"Jan 12, 2023","2.573","2.602","2.624","2.513","-2.28%"
"Jan 11, 2023","2.633","2.733","2.736","2.623","-5.25%"
"Jan 10, 2023","2.779","2.758","2.791","2.746","1.83%"
"Jan 09, 2023","2.729","2.756","2.779","2.706","0.33%"
"Jan 06, 2023","2.720","2.802","2.843","2.695","-3.41%"
"Jan 05, 2023","2.816","2.821","2.860","2.783","0.68%"
"Jan 04, 2023","2.797","2.803","2.836","2.774","-3.75%"
"Jan 03, 2023","2.906","2.996","3.012","2.869","-2.58%"
"Jan 02, 2023","2.983","3.070","3.075","2.954","-5.18%"
"Dec 30, 2022","3.146","2.975","3.148","2.975","6.21%"
"Dec 29, 2022","2.962","3.010","3.041","2.950","-2.31%"
"Dec 28, 2022","3.032","2.910","3.042","2.910","-0.52%"
"Dec 27, 2022","3.048","2.918","3.066","2.916","5.28%"
"Dec 26, 2022","2.895","2.924","2.924","2.887","-1.16%"
"Dec 23, 2022","2.929","2.892","2.944","2.882","1.07%"
"Dec 22, 2022","2.898","2.826","2.915","2.796","2.19%"
