"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","4.325","4.223","4.342","4.185","2.16%"
"Feb 14, 2023","4.233","4.135","4.239","4.113","1.20%"
"Feb 13, 2023","4.183","4.246","4.270","4.169","-0.61%"
"Feb 11, 2023","4.208","4.208","4.208","4.208","-0.15%"
"Feb 10, 2023","4.215","4.202","4.231","4.156","1.96%"
"Feb 09, 2023","4.134","4.184","4.189","4.077","-2.52%"
"Feb 08, 2023","4.241","4.206","4.291","4.201","1.29%"
"Feb 07, 2023","4.187","4.174","4.225","4.159","0.96%"
"Feb 06, 2023","4.147","4.094","4.178","4.087","3.08%"
"Feb 03, 2023","4.023","3.937","4.072","3.906","3.45%"
"Feb 02, 2023","3.889","4.221","4.239","3.862","-9.37%"
"Feb 01, 2023","4.291","4.255","4.310","4.216","0.59%"
"Jan 31, 2023","4.266","4.248","4.313","4.244","-1.07%"
"Jan 30, 2023","4.312","4.200","4.339","4.200","1.91%"
"Jan 27, 2023","4.231","4.189","4.273","4.187","1.63%"
"Jan 26, 2023","4.163","4.082","4.170","4.066","1.83%"
"Jan 25, 2023","4.088","4.133","4.154","3.985","4.29%"
"Jan 24, 2023","3.920","3.998","4.018","3.913","-2.41%"
"Jan 23, 2023","4.017","4.028","4.056","3.963","1.08%"
"Jan 20, 2023","3.974","3.808","3.982","3.796","5.36%"
"Jan 19, 2023","3.772","3.760","3.858","3.692","0.96%"
"Jan 18, 2023","3.736","3.875","3.923","3.691","-3.96%"
"Jan 17, 2023","3.890","4.050","4.068","3.845","-3.09%"
"Jan 16, 2023","4.014","3.990","4.084","3.986","0.40%"
"Jan 15, 2023","3.998","3.998","3.998","3.998","0.30%"
"Jan 13, 2023","3.986","3.977","4.011","3.871","-0.18%"
"Jan 12, 2023","3.993","4.000","4.024","3.872","-1.29%"
"Jan 11, 2023","4.045","4.170","4.176","4.013","-3.92%"
"Jan 10, 2023","4.210","4.238","4.259","4.187","1.03%"
"Jan 09, 2023","4.167","4.286","4.311","4.166","-1.28%"
"Jan 08, 2023","4.221","4.220","4.221","4.220","0.17%"
"Jan 06, 2023","4.214","4.311","4.382","4.178","-2.66%"
"Jan 05, 2023","4.329","4.340","4.387","4.267","0.82%"
"Jan 04, 2023","4.294","4.347","4.386","4.252","-4.15%"
"Jan 03, 2023","4.480","4.596","4.633","4.442","-1.80%"
