"Date","Price","Open","High","Low","Change %"
"Jan 27, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 26, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 25, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 24, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 23, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 20, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 19, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 18, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 17, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 16, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 13, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 12, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 11, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 10, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 09, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 06, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 05, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 04, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 03, 2023","4.650","4.650","4.650","4.650","0.00%"
"Jan 02, 2023","4.650","4.650","4.650","4.650","0.00%"
"Dec 30, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 29, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 28, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 27, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 23, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 22, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 21, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 20, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 19, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 16, 2022","4.650","4.650","4.650","4.650","0.00%"
"Dec 15, 2022","4.650","4.650","4.650","4.650","34.47%"
"Dec 14, 2022","3.458","3.458","3.458","3.458","-0.12%"
"Dec 13, 2022","3.462","3.462","3.462","3.462","-0.57%"
"Dec 12, 2022","3.482","3.482","3.482","3.482","0.23%"
"Dec 09, 2022","3.474","3.474","3.474","3.474","-0.09%"
"Dec 08, 2022","3.477","3.477","3.477","3.477","-0.32%"
"Dec 07, 2022","3.488","3.488","3.488","3.488","-0.74%"
"Dec 06, 2022","3.514","3.514","3.514","3.514","0.09%"
"Dec 05, 2022","3.511","3.511","3.511","3.511","-4.25%"
"Dec 02, 2022","3.667","3.667","3.667","3.667","-0.33%"
"Dec 01, 2022","3.679","3.679","3.679","3.679","-0.97%"
"Nov 30, 2022","3.715","3.715","3.715","3.715","-0.77%"
"Nov 29, 2022","3.744","3.744","3.744","3.744","-1.32%"
"Nov 28, 2022","3.794","3.794","3.794","3.794","-0.24%"
"Nov 25, 2022","3.803","3.803","3.803","3.803","-0.42%"
"Nov 24, 2022","3.819","3.819","3.819","3.819","-1.37%"
"Nov 23, 2022","3.872","3.872","3.872","3.872","-0.95%"
"Nov 22, 2022","3.909","3.909","3.909","3.909","0.00%"
