"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","3.003","3.003","3.003","3.003","1.62%"
"Feb 14, 2023","2.955","2.955","2.955","2.955","-1.53%"
"Feb 13, 2023","3.001","2.943","3.001","2.943","1.90%"
"Feb 09, 2023","2.945","2.945","2.945","2.945","-1.74%"
"Feb 08, 2023","2.997","2.997","2.997","2.997","1.87%"
"Feb 07, 2023","2.942","2.942","2.942","2.942","1.27%"
"Feb 06, 2023","2.905","2.905","2.905","2.905","5.41%"
"Feb 03, 2023","2.756","2.756","2.756","2.756","-5.42%"
"Feb 02, 2023","2.914","2.914","2.914","2.914","-0.61%"
"Feb 01, 2023","2.932","2.932","2.932","2.932","-1.08%"
"Jan 31, 2023","2.964","2.964","2.964","2.964","0.82%"
"Jan 27, 2023","2.940","2.940","2.940","2.940","3.67%"
"Jan 26, 2023","2.836","2.836","2.836","2.836","0.67%"
"Jan 25, 2023","2.817","2.817","2.817","2.817","-2.42%"
"Jan 24, 2023","2.887","2.887","2.887","2.887","1.09%"
"Jan 23, 2023","2.856","2.856","2.856","2.856","3.07%"
"Jan 20, 2023","2.771","2.771","2.771","2.771","2.44%"
"Jan 19, 2023","2.705","2.813","2.813","2.705","-3.94%"
"Jan 18, 2023","2.816","2.816","2.816","2.816","-3.56%"
"Jan 17, 2023","2.920","2.920","2.920","2.920","0.24%"
"Jan 16, 2023","2.913","2.913","2.913","2.913","1.36%"
"Jan 13, 2023","2.874","2.874","2.874","2.874","-0.38%"
"Jan 12, 2023","2.885","2.885","2.885","2.885","-4.28%"
"Jan 11, 2023","3.014","3.014","3.014","3.014","-1.25%"
"Jan 10, 2023","3.052","3.052","3.052","3.052","-0.23%"
"Jan 09, 2023","3.059","3.059","3.059","3.059","-1.64%"
"Jan 06, 2023","3.110","3.110","3.110","3.110","0.10%"
"Jan 05, 2023","3.107","3.082","3.107","3.082","0.75%"
"Jan 04, 2023","3.084","3.084","3.084","3.084","-5.25%"
"Jan 03, 2023","3.255","3.255","3.255","3.255","-1.03%"
"Dec 30, 2022","3.289","3.289","3.289","3.289","-0.63%"
"Dec 29, 2022","3.310","3.310","3.310","3.310","0.61%"
"Dec 28, 2022","3.290","3.290","3.290","3.290","0.70%"
"Dec 27, 2022","3.267","3.267","3.267","3.267","1.65%"
"Dec 23, 2022","3.214","3.214","3.214","3.214","2.49%"
"Dec 22, 2022","3.136","3.136","3.136","3.136","-0.67%"
"Dec 21, 2022","3.157","3.157","3.157","3.157","0.73%"
"Dec 20, 2022","3.134","3.134","3.134","3.134","3.13%"
"Dec 19, 2022","3.039","3.039","3.039","3.039","-0.03%"
"Dec 16, 2022","3.040","3.040","3.040","3.040","7.27%"
"Dec 15, 2022","2.834","2.834","2.834","2.834","1.47%"
"Dec 14, 2022","2.793","2.793","2.793","2.793","-0.04%"
"Dec 12, 2022","2.794","2.794","2.794","2.794","1.79%"
"Dec 09, 2022","2.745","2.745","2.745","2.745","2.81%"
"Dec 07, 2022","2.670","2.670","2.670","2.670","-2.80%"
"Dec 06, 2022","2.747","2.747","2.747","2.747","-0.43%"
"Dec 05, 2022","2.759","2.759","2.759","2.759","3.06%"
"Dec 02, 2022","2.677","2.677","2.677","2.677","-0.82%"
"Dec 01, 2022","2.699","2.699","2.699","2.699","-0.26%"
"Nov 30, 2022","2.706","2.706","2.706","2.706","1.65%"
"Nov 29, 2022","2.662","2.662","2.662","2.662","-0.52%"
"Nov 28, 2022","2.676","2.676","2.676","2.676","3.12%"
"Nov 25, 2022","2.595","2.595","2.595","2.595","0.15%"
"Nov 24, 2022","2.591","2.591","2.591","2.591","-6.26%"
"Nov 23, 2022","2.764","2.764","2.764","2.764","-0.47%"
"Nov 22, 2022","2.777","2.777","2.777","2.777","0.62%"
"Nov 21, 2022","2.760","2.760","2.760","2.760","-2.09%"
"Nov 18, 2022","2.819","2.819","2.819","2.819","3.00%"
"Nov 17, 2022","2.737","2.737","2.737","2.737","-4.60%"
"Nov 16, 2022","2.869","2.869","2.869","2.869","-1.95%"
"Nov 15, 2022","2.926","2.926","2.926","2.926","0.00%"
"Nov 14, 2022","2.926","2.926","2.926","2.926","2.77%"
"Nov 11, 2022","2.847","2.847","2.847","2.847","-3.95%"
"Nov 10, 2022","2.964","2.964","2.964","2.964","-1.59%"
"Nov 09, 2022","3.012","3.012","3.012","3.012","-4.29%"
"Nov 08, 2022","3.147","3.147","3.147","3.147","0.83%"
"Nov 07, 2022","3.121","3.121","3.121","3.121","3.38%"
"Nov 04, 2022","3.019","3.019","3.019","3.019","-1.82%"
"Nov 03, 2022","3.075","3.075","3.075","3.075","3.22%"
"Nov 02, 2022","2.979","2.979","2.979","2.979","1.78%"
"Nov 01, 2022","2.927","2.927","2.927","2.927","-1.65%"
"Oct 31, 2022","2.976","2.976","2.976","2.976","3.77%"
"Oct 28, 2022","2.868","2.868","2.868","2.868","-27.19%"
"Oct 19, 2022","3.939","3.939","3.939","3.939","-0.10%"
"Oct 18, 2022","3.943","3.943","3.943","3.943","0.64%"
"Oct 17, 2022","3.918","3.918","3.918","3.918","1.01%"
"Oct 14, 2022","3.879","3.879","3.879","3.879","-2.76%"
"Oct 13, 2022","3.989","3.989","3.989","3.989","0.43%"
"Oct 12, 2022","3.972","3.972","3.972","3.972","0.08%"
"Oct 11, 2022","3.969","3.969","3.969","3.969","0.89%"
"Oct 10, 2022","3.934","3.934","3.934","3.934","0.36%"
"Oct 07, 2022","3.920","3.920","3.920","3.920","2.30%"
"Oct 06, 2022","3.832","3.832","3.832","3.832","4.50%"
"Oct 05, 2022","3.667","3.667","3.667","3.667","1.66%"
"Oct 04, 2022","3.607","3.607","3.607","3.607","-2.12%"
"Oct 03, 2022","3.685","3.685","3.685","3.685","0.99%"
"Sep 30, 2022","3.649","3.649","3.649","3.649","-1.54%"
"Sep 29, 2022","3.706","3.706","3.706","3.706","-0.80%"
"Sep 28, 2022","3.736","3.736","3.736","3.736","4.39%"
"Sep 27, 2022","3.579","3.579","3.579","3.579","2.32%"
"Sep 26, 2022","3.498","3.498","3.498","3.498","0.40%"
"Sep 23, 2022","3.484","3.386","3.484","3.386","4.06%"
"Sep 22, 2022","3.348","3.348","3.348","3.348","0.45%"
"Sep 20, 2022","3.333","3.285","3.333","3.285","3.57%"
"Sep 19, 2022","3.218","3.218","3.218","3.218","-0.22%"
"Sep 16, 2022","3.225","3.225","3.225","3.225","0.50%"
"Sep 15, 2022","3.209","3.209","3.209","3.209","0.09%"
"Sep 14, 2022","3.206","3.206","3.206","3.206","1.78%"
"Sep 13, 2022","3.150","3.150","3.150","3.150","0.57%"
"Sep 12, 2022","3.132","3.201","3.201","3.132","-2.52%"
"Sep 09, 2022","3.213","3.213","3.213","3.213","5.62%"
"Sep 07, 2022","3.042","3.090","3.090","3.042","1.16%"
"Sep 06, 2022","3.007","3.075","3.075","3.007","-1.47%"
"Sep 05, 2022","3.052","3.052","3.052","3.052","-0.03%"
"Sep 02, 2022","3.053","3.053","3.053","3.053","-0.94%"
"Sep 01, 2022","3.082","3.082","3.082","3.082","1.68%"
"Aug 31, 2022","3.031","2.968","3.031","2.968","1.71%"
"Aug 30, 2022","2.980","2.980","2.980","2.980","-0.63%"
"Aug 29, 2022","2.999","2.999","2.999","2.999","6.12%"
