"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","2.743","2.700","2.761","2.676","0.83%"
"Feb 14, 2023","2.721","2.629","2.726","2.595","2.97%"
"Feb 13, 2023","2.642","2.634","2.680","2.619","-0.67%"
"Feb 10, 2023","2.660","2.636","2.672","2.612","2.24%"
"Feb 09, 2023","2.602","2.605","2.619","2.539","-1.97%"
"Feb 08, 2023","2.654","2.635","2.690","2.625","0.59%"
"Feb 07, 2023","2.639","2.594","2.640","2.585","1.61%"
"Feb 06, 2023","2.597","2.533","2.608","2.527","4.20%"
"Feb 03, 2023","2.492","2.401","2.527","2.389","4.85%"
"Feb 02, 2023","2.377","2.568","2.593","2.342","-9.17%"
"Feb 01, 2023","2.617","2.594","2.633","2.560","0.10%"
"Jan 31, 2023","2.615","2.588","2.647","2.570","-0.88%"
"Jan 30, 2023","2.638","2.518","2.649","2.518","3.23%"
"Jan 27, 2023","2.555","2.554","2.604","2.545","0.90%"
"Jan 26, 2023","2.533","2.463","2.537","2.448","2.61%"
"Jan 25, 2023","2.468","2.458","2.487","2.380","0.34%"
"Jan 24, 2023","2.460","2.500","2.538","2.458","-2.21%"
"Jan 23, 2023","2.515","2.497","2.526","2.447","1.94%"
"Jan 20, 2023","2.468","2.384","2.479","2.366","4.74%"
"Jan 19, 2023","2.356","2.313","2.395","2.276","1.79%"
"Jan 18, 2023","2.315","2.371","2.412","2.258","-2.97%"
"Jan 17, 2023","2.385","2.506","2.526","2.364","-4.01%"
"Jan 16, 2023","2.485","2.457","2.527","2.447","0.56%"
"Jan 13, 2023","2.471","2.440","2.472","2.382","0.63%"
"Jan 12, 2023","2.456","2.473","2.508","2.389","-2.11%"
"Jan 11, 2023","2.509","2.596","2.603","2.492","-5.12%"
"Jan 10, 2023","2.644","2.609","2.656","2.601","2.60%"
"Jan 09, 2023","2.577","2.607","2.645","2.559","0.16%"
"Jan 06, 2023","2.573","2.638","2.682","2.546","-3.75%"
"Jan 05, 2023","2.673","2.644","2.698","2.614","2.44%"
"Jan 04, 2023","2.609","2.638","2.675","2.601","-4.88%"
"Jan 03, 2023","2.743","2.810","2.832","2.691","-1.67%"
"Jan 02, 2023","2.790","2.882","2.885","2.776","-4.23%"
"Dec 30, 2022","2.913","2.805","2.920","2.803","4.02%"
"Dec 29, 2022","2.800","2.821","2.867","2.800","-1.54%"
