"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","3.344","3.273","3.352","3.238","2.20%"
"Feb 14, 2023","3.272","3.210","3.283","3.159","1.08%"
"Feb 13, 2023","3.237","3.262","3.280","3.212","-0.34%"
"Feb 10, 2023","3.248","3.229","3.252","3.199","2.49%"
"Feb 09, 2023","3.169","3.184","3.194","3.118","-2.13%"
"Feb 08, 2023","3.238","3.211","3.263","3.203","1.86%"
"Feb 07, 2023","3.179","3.167","3.212","3.152","1.27%"
"Feb 06, 2023","3.139","3.106","3.169","3.098","2.72%"
"Feb 03, 2023","3.056","2.967","3.075","2.955","4.73%"
"Feb 02, 2023","2.918","3.167","3.185","2.894","-9.44%"
"Feb 01, 2023","3.222","3.201","3.232","3.164","0.78%"
"Jan 31, 2023","3.197","3.204","3.240","3.181","-1.24%"
"Jan 30, 2023","3.237","3.130","3.254","3.130","2.37%"
"Jan 27, 2023","3.162","3.134","3.190","3.127","1.90%"
"Jan 26, 2023","3.103","3.035","3.111","3.021","2.01%"
"Jan 25, 2023","3.042","3.027","3.057","2.963","0.33%"
"Jan 24, 2023","3.032","3.075","3.105","3.022","-2.04%"
"Jan 23, 2023","3.095","3.085","3.115","3.037","1.24%"
"Jan 20, 2023","3.057","2.951","3.059","2.932","5.09%"
"Jan 19, 2023","2.909","2.900","2.968","2.858","0.97%"
"Jan 18, 2023","2.881","2.989","3.015","2.841","-4.03%"
"Jan 17, 2023","3.002","3.124","3.134","2.971","-3.00%"
"Jan 16, 2023","3.095","3.089","3.145","3.078","0.65%"
"Jan 13, 2023","3.075","3.068","3.085","3.001","-0.19%"
"Jan 12, 2023","3.081","3.089","3.113","2.989","-1.31%"
"Jan 11, 2023","3.122","3.220","3.227","3.120","-4.23%"
"Jan 10, 2023","3.260","3.258","3.274","3.234","2.03%"
"Jan 09, 2023","3.195","3.283","3.286","3.193","-0.93%"
"Jan 06, 2023","3.225","3.307","3.361","3.209","-2.86%"
"Jan 05, 2023","3.320","3.313","3.357","3.276","1.13%"
"Jan 04, 2023","3.283","3.312","3.326","3.270","-3.53%"
"Jan 03, 2023","3.403","3.499","3.510","3.355","-2.02%"
"Jan 02, 2023","3.473","3.575","3.582","3.449","-3.50%"
"Dec 30, 2022","3.599","3.473","3.601","3.473","3.39%"
"Dec 29, 2022","3.481","3.515","3.535","3.469","-1.56%"
"Dec 28, 2022","3.536","3.519","3.536","3.461","0.60%"
"Dec 27, 2022","3.515","3.460","3.536","3.454","3.57%"
"Dec 26, 2022","3.394","3.394","3.394","3.394","-0.56%"
"Dec 23, 2022","3.413","3.392","3.434","3.381","0.68%"
"Dec 22, 2022","3.390","3.344","3.412","3.305","1.68%"
"Dec 21, 2022","3.334","3.344","3.355","3.290","-0.80%"
"Dec 20, 2022","3.361","3.334","3.363","3.301","4.15%"
"Dec 19, 2022","3.227","3.211","3.252","3.186","1.00%"
"Dec 16, 2022","3.195","3.180","3.260","3.179","3.47%"
"Dec 15, 2022","3.088","2.929","3.120","2.870","6.89%"
