"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","7.475","7.495","7.510","7.440","2.12%"
"Feb 14, 2023","7.320","7.660","7.680","7.550","0.27%"
"Feb 13, 2023","7.300","7.580","7.680","7.540","-1.88%"
"Feb 12, 2023","7.440","7.440","7.440","7.440","1.78%"
"Feb 10, 2023","7.310","7.560","7.590","7.470","-0.14%"
"Feb 09, 2023","7.320","7.630","7.670","7.480","0.27%"
"Feb 08, 2023","7.300","7.600","7.670","7.550","-1.22%"
"Feb 07, 2023","7.390","7.450","7.620","7.300","2.07%"
"Feb 06, 2023","7.240","7.300","7.470","7.280","2.70%"
"Feb 03, 2023","7.050","7.300","7.500","7.260","-2.35%"
"Feb 02, 2023","7.220","7.540","7.600","7.440","-1.63%"
"Feb 01, 2023","7.340","7.400","7.600","7.340","3.38%"
"Jan 31, 2023","7.100","7.400","7.500","7.340","-0.84%"
"Jan 30, 2023","7.160","7.270","7.790","7.270","-6.89%"
"Jan 29, 2023","7.690","7.690","7.690","7.690","8.92%"
"Jan 27, 2023","7.060","7.450","7.470","7.270","-1.53%"
"Jan 26, 2023","7.170","7.500","7.510","7.410","-0.28%"
"Jan 25, 2023","7.190","7.550","7.570","7.420","-3.16%"
"Jan 24, 2023","7.425","7.445","7.445","7.425","2.27%"
"Jan 23, 2023","7.260","7.590","7.640","7.500","-2.75%"
"Jan 21, 2023","7.465","7.485","7.485","7.465","2.97%"
"Jan 20, 2023","7.250","7.440","7.700","7.440","0.14%"
"Jan 19, 2023","7.240","7.500","7.570","7.440","-1.23%"
"Jan 18, 2023","7.330","7.660","7.730","7.500","-2.27%"
"Jan 17, 2023","7.500","7.760","7.780","7.660","-1.57%"
"Jan 16, 2023","7.620","7.650","7.790","7.540","-0.91%"
"Jan 15, 2023","7.690","7.690","7.690","7.690","3.57%"
"Jan 14, 2023","7.425","7.445","7.445","7.425","-0.60%"
"Jan 13, 2023","7.470","7.550","7.650","7.490","2.33%"
"Jan 12, 2023","7.300","7.510","7.680","7.500","-1.35%"
"Jan 11, 2023","7.400","7.800","7.840","7.550","-2.50%"
"Jan 10, 2023","7.590","7.800","7.950","7.790","-0.78%"
"Jan 09, 2023","7.650","7.850","8.020","7.800","-17.48%"
"Jan 08, 2023","9.270","9.270","9.270","9.270","19.61%"
"Jan 06, 2023","7.750","8.010","8.040","7.900","-0.13%"
"Jan 05, 2023","7.760","7.980","8.230","7.980","-1.90%"
"Jan 04, 2023","7.910","8.230","8.360","8.060","-1.98%"
"Jan 03, 2023","8.070","8.400","8.400","8.210","-12.94%"
"Jan 01, 2023","9.270","9.270","9.270","9.270","13.05%"
"Dec 31, 2022","8.200","8.200","8.200","8.200","1.36%"
"Dec 30, 2022","8.090","8.280","8.350","8.260","0.00%"
"Dec 29, 2022","8.090","8.300","8.330","8.240","0.25%"
"Dec 28, 2022","8.070","8.320","8.350","8.240","-0.25%"
"Dec 27, 2022","8.090","8.370","8.370","8.290","-0.12%"
"Dec 23, 2022","8.100","8.340","8.370","8.300","0.50%"
"Dec 22, 2022","8.060","8.400","8.420","8.300","-1.10%"
"Dec 21, 2022","8.150","8.400","8.420","8.350","0.00%"
"Dec 20, 2022","8.150","8.270","8.420","7.950","1.12%"
"Dec 19, 2022","8.060","7.950","8.300","7.950","-13.05%"
"Dec 18, 2022","9.270","9.270","9.270","9.270","16.60%"
"Dec 16, 2022","7.950","8.030","8.210","7.920","3.11%"
"Dec 15, 2022","7.710","7.920","8.050","7.920","0.00%"
"Dec 14, 2022","7.710","7.970","8.140","7.920","-1.78%"
"Dec 13, 2022","7.850","7.760","8.190","7.760","3.70%"
"Dec 12, 2022","7.570","7.820","7.820","7.760","0.00%"
"Dec 09, 2022","7.570","7.790","7.820","7.770","0.00%"
"Dec 08, 2022","7.570","7.790","7.820","7.770","0.13%"
"Dec 07, 2022","7.560","7.780","7.820","7.770","0.00%"
"Dec 06, 2022","7.560","7.750","7.870","7.750","-0.53%"
"Dec 05, 2022","7.600","7.780","8.100","7.780","-1.94%"
"Dec 03, 2022","7.750","7.750","7.750","7.730","2.11%"
"Dec 02, 2022","7.590","8.090","8.110","7.780","-4.65%"
"Dec 01, 2022","7.960","7.980","7.980","7.960","0.00%"
"Nov 30, 2022","7.960","7.980","7.980","7.960","1.53%"
"Nov 29, 2022","7.840","8.080","8.120","8.000","-0.88%"
"Nov 28, 2022","7.910","7.950","8.120","7.940","-14.67%"
"Nov 27, 2022","9.270","9.270","9.270","9.270","17.56%"
"Nov 26, 2022","7.885","7.925","7.925","7.865","1.87%"
"Nov 25, 2022","7.740","7.960","8.140","7.940","-0.26%"
"Nov 24, 2022","7.760","8.100","8.160","7.960","-1.40%"
"Nov 23, 2022","7.870","8.160","8.260","8.080","-0.88%"
"Nov 22, 2022","7.940","8.150","8.220","8.100","-0.38%"
"Nov 21, 2022","7.970","8.250","9.370","8.270","-14.02%"
"Nov 20, 2022","9.270","9.270","9.270","9.270","13.74%"
"Nov 19, 2022","8.150","8.150","8.150","8.150","1.49%"
"Nov 18, 2022","8.030","8.260","8.290","8.150","0.00%"
"Nov 17, 2022","8.030","8.200","8.320","8.200","0.88%"
"Nov 16, 2022","7.960","8.430","8.430","8.050","-2.81%"
"Nov 15, 2022","8.190","8.380","8.430","8.200","0.74%"
"Nov 14, 2022","8.130","8.180","8.400","8.180","-0.67%"
"Nov 12, 2022","8.185","8.280","8.280","8.165","0.55%"
"Nov 11, 2022","8.140","8.550","8.550","8.200","-5.68%"
"Nov 10, 2022","8.630","8.950","9.020","8.800","0.12%"
"Nov 09, 2022","8.620","9.040","9.170","8.860","-1.71%"
"Nov 08, 2022","8.770","9.000","9.220","9.000","-1.13%"
"Nov 07, 2022","8.870","9.280","9.300","9.100","-3.38%"
"Nov 05, 2022","9.180","9.180","9.180","9.180","1.32%"
"Nov 04, 2022","9.060","9.320","9.470","9.110","-0.22%"
"Nov 03, 2022","9.080","9.110","9.470","9.110","2.83%"
"Nov 02, 2022","8.830","9.110","9.270","9.100","-1.12%"
"Nov 01, 2022","8.930","9.250","9.300","9.120","0.22%"
"Oct 31, 2022","8.910","9.120","9.300","9.100","1.37%"
"Oct 28, 2022","8.790","9.120","9.270","9.090","-0.57%"
"Oct 27, 2022","8.840","9.200","9.290","9.140","-0.23%"
"Oct 26, 2022","8.860","9.200","9.580","9.090","-4.63%"
"Oct 25, 2022","9.290","9.700","9.750","9.300","-0.85%"
"Oct 24, 2022","9.370","9.430","9.750","9.430","0.64%"
"Oct 22, 2022","9.310","9.310","9.310","9.310","-2.00%"
"Oct 21, 2022","9.500","9.450","9.750","9.350","5.91%"
"Oct 20, 2022","8.970","9.260","9.470","9.250","0.22%"
"Oct 19, 2022","8.950","9.220","9.350","9.220","0.22%"
"Oct 18, 2022","8.930","9.250","9.350","9.220","-0.33%"
"Oct 17, 2022","8.960","9.270","9.350","9.180","-0.99%"
"Oct 15, 2022","9.050","9.070","9.070","9.050","0.33%"
"Oct 14, 2022","9.020","9.260","9.400","9.180","0.00%"
"Oct 13, 2022","9.020","9.260","9.300","9.100","-0.11%"
"Oct 12, 2022","9.030","9.010","9.250","8.850","2.27%"
"Oct 11, 2022","8.830","8.700","9.010","8.550","4.13%"
"Oct 10, 2022","8.480","8.550","8.770","8.550","-0.76%"
"Oct 08, 2022","8.545","8.430","8.545","8.430","1.73%"
"Oct 07, 2022","8.400","8.550","8.670","8.490","1.08%"
"Oct 06, 2022","8.310","8.550","8.670","8.550","-0.12%"
"Oct 05, 2022","8.320","8.640","8.660","8.490","-1.19%"
"Oct 04, 2022","8.420","8.550","8.700","8.550","1.32%"
"Oct 03, 2022","8.310","8.640","8.780","8.550","-1.44%"
"Oct 02, 2022","8.431","8.430","8.431","8.430","-2.53%"
"Oct 01, 2022","8.650","8.430","8.650","8.430","1.53%"
"Sep 30, 2022","8.520","8.550","8.790","8.550","0.35%"
"Sep 29, 2022","8.490","8.550","8.700","8.550","-0.24%"
"Sep 28, 2022","8.510","8.510","8.680","8.460","2.16%"
"Sep 27, 2022","8.330","8.500","8.620","8.440","2.46%"
"Sep 26, 2022","8.130","8.420","8.550","8.300","-2.05%"
"Sep 25, 2022","8.300","8.300","8.300","8.300","0.06%"
"Sep 24, 2022","8.295","8.300","8.300","8.275","1.41%"
"Sep 23, 2022","8.180","8.330","8.430","8.300","2.25%"
"Sep 22, 2022","8.000","8.230","8.370","8.150","0.76%"
"Sep 21, 2022","7.940","8.150","8.290","8.150","-0.75%"
"Sep 20, 2022","8.000","8.150","8.270","8.150","1.14%"
"Sep 19, 2022","7.910","8.270","8.270","8.150","-1.43%"
"Sep 18, 2022","8.025","8.025","8.025","8.025","-1.05%"
"Sep 17, 2022","8.110","8.130","8.130","8.110","1.25%"
"Sep 16, 2022","8.010","8.190","8.270","8.150","1.01%"
"Sep 15, 2022","7.930","8.140","8.260","8.120","1.28%"
"Sep 14, 2022","7.830","8.050","8.230","8.000","1.16%"
"Sep 13, 2022","7.740","8.110","8.250","8.050","-3.01%"
"Sep 12, 2022","7.980","8.150","8.240","8.150","-1.36%"
"Sep 10, 2022","8.090","8.100","8.100","8.070","1.38%"
"Sep 09, 2022","7.980","8.180","8.220","8.130","0.50%"
"Sep 08, 2022","7.940","8.000","8.190","8.000","1.40%"
"Sep 07, 2022","7.830","8.000","8.070","8.000","1.56%"
"Sep 06, 2022","7.710","7.960","8.060","7.960","1.05%"
"Sep 05, 2022","7.630","7.970","8.020","7.910","-2.49%"
