"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","11.025","10.990","11.040","10.955","0.59%"
"Feb 14, 2023","10.960","10.850","11.000","10.820","0.55%"
"Feb 13, 2023","10.900","10.810","10.900","10.780","0.46%"
"Feb 10, 2023","10.850","10.840","10.850","10.750","0.56%"
"Feb 09, 2023","10.790","10.710","10.830","10.660","0.84%"
"Feb 08, 2023","10.700","10.740","10.740","10.650","0.19%"
"Feb 07, 2023","10.680","10.620","10.680","10.600","0.66%"
"Feb 06, 2023","10.610","10.610","10.630","10.590","-0.19%"
"Feb 03, 2023","10.630","10.600","10.650","10.590","0.38%"
"Feb 02, 2023","10.590","10.560","10.590","10.550","0.19%"
"Feb 01, 2023","10.570","10.590","10.590","10.550","-0.09%"
"Jan 31, 2023","10.580","10.560","10.590","10.550","-0.09%"
"Jan 30, 2023","10.590","10.560","10.600","10.520","0.47%"
"Jan 27, 2023","10.540","10.530","10.550","10.510","0.19%"
"Jan 26, 2023","10.520","10.500","10.540","10.490","0.19%"
"Jan 25, 2023","10.500","10.530","10.530","10.490","-0.28%"
"Jan 24, 2023","10.530","10.520","10.530","10.500","0.19%"
"Jan 23, 2023","10.510","10.490","10.520","10.470","0.38%"
"Jan 20, 2023","10.470","10.490","10.490","10.450","0.00%"
"Jan 19, 2023","10.470","10.450","10.520","10.430","0.29%"
"Jan 18, 2023","10.440","10.440","10.480","10.420","0.19%"
"Jan 17, 2023","10.420","10.410","10.430","10.410","-0.10%"
"Jan 16, 2023","10.430","10.440","10.450","10.400","0.29%"
"Jan 13, 2023","10.400","10.410","10.420","10.390","0.19%"
"Jan 12, 2023","10.380","10.430","10.430","10.380","-0.10%"
"Jan 11, 2023","10.390","10.380","10.440","10.370","0.00%"
"Jan 10, 2023","10.390","10.340","10.390","10.330","0.48%"
"Jan 09, 2023","10.340","10.300","10.395","10.295","0.10%"
"Jan 06, 2023","10.330","10.310","10.330","10.260","0.68%"
"Jan 05, 2023","10.260","10.290","10.290","10.250","-0.10%"
"Jan 04, 2023","10.270","10.350","10.350","10.270","-0.58%"
"Jan 03, 2023","10.330","10.360","10.400","10.270","-0.29%"
"Dec 30, 2022","10.360","10.360","10.400","10.290","0.10%"
"Dec 29, 2022","10.350","10.350","10.360","10.290","0.00%"
"Dec 28, 2022","10.350","10.420","10.420","10.320","0.00%"
"Dec 27, 2022","10.350","10.410","10.410","10.290","0.49%"
"Dec 26, 2022","10.300","10.440","10.440","10.290","-0.68%"
"Dec 23, 2022","10.370","10.340","10.370","10.320","0.29%"
"Dec 22, 2022","10.340","10.420","10.420","10.300","-0.19%"
"Dec 21, 2022","10.360","10.360","10.370","10.320","0.19%"
"Dec 20, 2022","10.340","10.290","10.360","10.260","0.68%"
"Dec 19, 2022","10.270","10.190","10.280","10.170","0.69%"
"Dec 16, 2022","10.200","10.250","10.250","10.180","-0.20%"
"Dec 15, 2022","10.220","10.160","10.230","10.130","0.49%"
"Dec 14, 2022","10.170","10.150","10.180","10.100","0.20%"
"Dec 13, 2022","10.150","10.170","10.170","10.100","-0.10%"
"Dec 12, 2022","10.160","10.180","10.180","10.090","0.10%"
"Dec 09, 2022","10.150","10.110","10.160","10.110","0.20%"
"Dec 08, 2022","10.130","10.160","10.180","10.110","-0.59%"
"Dec 07, 2022","10.190","10.170","10.200","10.130","0.10%"
"Dec 06, 2022","10.180","10.200","10.210","10.150","-0.20%"
"Dec 05, 2022","10.200","10.150","10.200","10.100","0.69%"
"Dec 02, 2022","10.130","10.160","10.160","10.120","0.10%"
"Dec 01, 2022","10.120","10.140","10.140","10.070","0.10%"
"Nov 30, 2022","10.110","10.110","10.120","10.090","-0.10%"
"Nov 29, 2022","10.120","10.140","10.140","10.070","0.20%"
"Nov 28, 2022","10.100","10.160","10.160","10.050","0.40%"
"Nov 25, 2022","10.060","10.150","10.150","10.040","-0.10%"
"Nov 24, 2022","10.070","10.120","10.120","10.000","-0.30%"
"Nov 23, 2022","10.100","10.140","10.140","10.070","0.20%"
"Nov 22, 2022","10.080","10.070","10.100","9.980","0.70%"
"Nov 21, 2022","10.010","9.940","10.020","9.940","0.40%"
"Nov 18, 2022","9.970","10.000","10.000","9.930","0.40%"
"Nov 17, 2022","9.930","9.940","9.990","9.910","0.00%"
"Nov 16, 2022","9.930","10.150","10.150","9.920","-1.29%"
"Nov 15, 2022","10.060","10.020","10.060","9.960","0.70%"
"Nov 14, 2022","9.990","10.050","10.050","9.940","-0.20%"
"Nov 11, 2022","10.010","10.000","10.020","9.950","-0.20%"
"Nov 10, 2022","10.030","10.090","10.090","10.010","-0.59%"
