"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","7.056","7.031","7.056","7.031","-1.12%"
"Feb 14, 2023","7.136","6.990","7.136","6.990","1.13%"
"Feb 13, 2023","7.056","7.056","7.056","7.056","-2.35%"
"Feb 11, 2023","7.226","7.226","7.226","7.226","0.36%"
"Feb 10, 2023","7.200","7.200","7.200","7.152","0.67%"
"Feb 09, 2023","7.152","7.152","7.152","7.152","0.73%"
"Feb 08, 2023","7.100","7.200","7.200","6.900","-1.39%"
"Feb 07, 2023","7.200","7.200","7.200","7.053","0.00%"
"Feb 06, 2023","7.200","7.200","7.200","6.904","4.29%"
"Feb 03, 2023","6.904","6.904","6.904","6.904","0.01%"
"Feb 02, 2023","6.903","6.903","6.903","6.903","-1.50%"
"Feb 01, 2023","7.008","7.008","7.008","7.008","1.08%"
"Jan 31, 2023","6.933","6.933","6.933","6.933","0.48%"
"Jan 30, 2023","6.900","6.900","6.900","6.900","-4.51%"
"Jan 28, 2023","7.226","7.226","7.226","7.226","0.36%"
"Jan 27, 2023","7.200","6.990","7.200","6.990","0.00%"
"Jan 26, 2023","7.200","7.200","7.200","6.900","0.00%"
"Jan 25, 2023","7.200","7.200","7.200","7.200","0.00%"
"Jan 24, 2023","7.200","7.200","7.200","7.200","0.00%"
"Jan 23, 2023","7.200","7.003","7.200","6.965","2.55%"
"Jan 20, 2023","7.021","7.021","7.021","7.021","0.36%"
"Jan 19, 2023","6.996","6.996","6.996","6.996","-1.20%"
"Jan 18, 2023","7.081","7.081","7.081","7.081","-0.90%"
"Jan 17, 2023","7.145","7.130","7.166","7.102","0.63%"
"Jan 16, 2023","7.100","7.166","7.166","7.100","-2.74%"
"Jan 13, 2023","7.300","7.300","7.300","7.300","0.00%"
"Jan 12, 2023","7.300","7.300","7.300","7.166","0.00%"
"Jan 11, 2023","7.300","7.130","7.300","7.130","1.88%"
"Jan 10, 2023","7.165","7.300","7.300","7.165","-1.85%"
"Jan 09, 2023","7.300","7.300","7.300","7.100","-0.40%"
"Jan 07, 2023","7.330","7.330","7.330","7.330","3.44%"
"Jan 06, 2023","7.086","7.097","7.330","7.086","0.00%"
"Jan 05, 2023","7.086","7.097","7.330","7.086","0.11%"
"Jan 04, 2023","7.078","7.095","7.330","7.078","-3.43%"
"Jan 03, 2023","7.330","7.077","7.330","7.077","3.57%"
"Jan 02, 2023","7.077","7.094","7.330","7.077","-3.44%"
"Jan 01, 2023","7.330","7.330","7.330","7.330","0.00%"
"Dec 31, 2022","7.330","7.330","7.330","7.330","3.57%"
"Dec 30, 2022","7.077","7.094","7.330","6.968","-3.05%"
"Dec 29, 2022","7.300","7.300","7.300","7.300","0.00%"
"Dec 28, 2022","7.300","7.300","7.300","7.300","0.00%"
"Dec 27, 2022","7.300","7.155","7.300","7.130","0.00%"
"Dec 26, 2022","7.300","7.300","7.300","7.300","-0.40%"
"Dec 24, 2022","7.330","7.330","7.330","7.330","0.40%"
"Dec 23, 2022","7.300","7.300","7.300","7.300","0.00%"
"Dec 22, 2022","7.300","7.300","7.300","7.130","0.00%"
"Dec 21, 2022","7.300","7.300","7.300","7.300","0.00%"
