"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","3.28","3.17","3.36","3.15","-1.31%"
"Feb 14, 2023","3.33","3.22","3.33","3.17","1.43%"
"Feb 13, 2023","3.28","3.28","3.29","3.22","1.20%"
"Feb 10, 2023","3.24","3.21","3.26","3.19","1.09%"
"Feb 09, 2023","3.20","3.17","3.20","3.12","-1.11%"
"Feb 08, 2023","3.24","3.23","3.27","3.20","1.44%"
"Feb 07, 2023","3.19","3.17","3.20","3.15","2.77%"
"Feb 06, 2023","3.11","3.13","3.16","3.08","1.34%"
"Feb 03, 2023","3.07","2.99","3.12","2.98","4.50%"
"Feb 02, 2023","2.93","3.15","3.16","2.91","-8.02%"
"Feb 01, 2023","3.19","3.16","3.20","3.13","0.00%"
"Jan 31, 2023","3.19","3.19","3.22","3.16","-1.15%"
"Jan 30, 2023","3.22","3.15","3.25","3.15","0.44%"
"Jan 27, 2023","3.21","3.18","3.23","3.18","1.97%"
"Jan 26, 2023","3.15","3.09","3.15","3.08","1.94%"
"Jan 25, 2023","3.09","3.05","3.10","3.01","0.85%"
"Jan 24, 2023","3.06","3.14","3.15","3.06","-2.61%"
"Jan 23, 2023","3.14","3.14","3.15","3.06","1.52%"
"Jan 20, 2023","3.10","2.98","3.11","2.98","4.73%"
"Jan 19, 2023","2.96","2.99","3.00","2.93","0.00%"
"Jan 18, 2023","2.96","3.04","3.05","2.91","-1.40%"
"Jan 17, 2023","3.00","3.14","3.16","2.99","-4.70%"
"Jan 16, 2023","3.15","3.13","3.19","3.12","0.25%"
"Jan 13, 2023","3.14","3.14","3.15","3.04","1.42%"
"Jan 12, 2023","3.10","3.16","3.19","3.07","-2.12%"
"Jan 11, 2023","3.16","3.32","3.33","3.16","-6.09%"
"Jan 10, 2023","3.37","3.35","3.39","3.34","2.31%"
"Jan 09, 2023","3.29","3.33","3.36","3.29","3.77%"
"Jan 06, 2023","3.17","3.25","3.33","3.16","-6.42%"
"Jan 05, 2023","3.39","3.37","3.42","3.34","1.41%"
"Jan 04, 2023","3.34","3.36","3.39","3.34","-3.49%"
"Jan 03, 2023","3.46","3.57","3.59","3.43","-3.43%"
"Jan 02, 2023","3.59","3.61","3.64","3.51","-1.51%"
"Dec 30, 2022","3.64","3.55","3.65","3.55","2.85%"
"Dec 29, 2022","3.54","3.63","3.69","3.54","-3.80%"
"Dec 28, 2022","3.68","3.69","3.70","3.64","-0.43%"
"Dec 27, 2022","3.70","3.70","3.71","3.64","3.30%"
"Dec 23, 2022","3.58","3.57","3.59","3.57","0.93%"
"Dec 22, 2022","3.55","3.48","3.57","3.47","1.81%"
"Dec 21, 2022","3.48","3.48","3.50","3.43","-0.29%"
"Dec 20, 2022","3.49","3.54","3.54","3.41","2.31%"
"Dec 19, 2022","3.41","3.40","3.44","3.36","1.46%"
"Dec 16, 2022","3.37","3.31","3.44","3.31","1.20%"
"Dec 15, 2022","3.33","3.18","3.35","3.11","5.86%"
"Dec 14, 2022","3.14","3.04","3.19","3.04","1.62%"
"Dec 13, 2022","3.09","3.13","3.18","3.01","-0.87%"
"Dec 12, 2022","3.12","3.13","3.14","3.05","0.29%"
"Dec 09, 2022","3.11","3.02","3.14","2.99","1.44%"
"Dec 08, 2022","3.07","3.02","3.09","2.99","2.06%"
"Dec 07, 2022","3.00","3.01","3.06","2.97","-0.99%"
"Dec 06, 2022","3.03","3.06","3.10","3.02","-1.84%"
"Dec 05, 2022","3.09","3.12","3.12","3.04","-0.42%"
"Dec 02, 2022","3.10","3.06","3.12","2.99","0.55%"
"Dec 01, 2022","3.09","3.12","3.19","3.05","-4.75%"
"Nov 30, 2022","3.24","3.29","3.29","3.21","0.19%"
