"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","3.583","3.519","3.599","3.513","2.81%"
"Feb 14, 2023","3.485","3.435","3.489","3.425","0.43%"
"Feb 13, 2023","3.470","3.505","3.514","3.456","0.43%"
"Feb 10, 2023","3.455","3.436","3.481","3.436","2.83%"
"Feb 09, 2023","3.360","3.371","3.394","3.342","-1.19%"
"Feb 08, 2023","3.401","3.392","3.443","3.381","0.07%"
"Feb 07, 2023","3.398","3.391","3.417","3.377","0.59%"
"Feb 06, 2023","3.378","3.346","3.382","3.335","4.58%"
"Feb 03, 2023","3.230","3.174","3.236","3.174","-1.61%"
"Feb 02, 2023","3.283","3.332","3.352","3.283","-4.23%"
"Feb 01, 2023","3.428","3.464","3.465","3.422","-1.86%"
"Jan 31, 2023","3.493","3.469","3.508","3.461","0.43%"
"Jan 30, 2023","3.478","3.469","3.498","3.443","2.02%"
"Jan 27, 2023","3.409","3.407","3.433","3.385","3.12%"
"Jan 26, 2023","3.306","3.240","3.320","3.240","3.83%"
"Jan 25, 2023","3.184","3.213","3.227","3.178","-2.27%"
"Jan 24, 2023","3.258","3.269","3.269","3.235","0.46%"
"Jan 23, 2023","3.243","3.212","3.257","3.199","2.46%"
"Jan 20, 2023","3.165","3.132","3.185","3.119","1.97%"
"Jan 19, 2023","3.104","3.018","3.108","3.018","0.39%"
"Jan 18, 2023","3.092","3.131","3.151","3.086","-4.89%"
"Jan 17, 2023","3.251","3.275","3.282","3.250","-0.88%"
"Jan 16, 2023","3.280","3.250","3.305","3.247","2.44%"
"Jan 13, 2023","3.202","3.213","3.213","3.165","-1.75%"
"Jan 12, 2023","3.259","3.254","3.298","3.249","-3.18%"
"Jan 11, 2023","3.366","3.417","3.419","3.363","-3.61%"
"Jan 10, 2023","3.492","3.476","3.498","3.468","-0.57%"
"Jan 09, 2023","3.512","3.523","3.532","3.509","-1.27%"
"Jan 06, 2023","3.557","3.576","3.598","3.554","-0.06%"
"Jan 05, 2023","3.559","3.594","3.615","3.548","-0.92%"
"Jan 04, 2023","3.592","3.538","3.612","3.533","-1.48%"
"Jan 03, 2023","3.646","3.708","3.717","3.587","-0.11%"
"Jan 02, 2023","3.650","3.766","3.768","3.635","-2.74%"
"Dec 30, 2022","3.753","3.740","3.780","3.734","-0.13%"
"Dec 29, 2022","3.758","3.759","3.762","3.717","1.02%"
"Dec 28, 2022","3.720","3.740","3.750","3.704","-0.77%"
"Dec 27, 2022","3.749","3.703","3.770","3.703","3.11%"
"Dec 23, 2022","3.636","3.609","3.641","3.609","1.11%"
"Dec 22, 2022","3.596","3.533","3.596","3.523","1.70%"
"Dec 21, 2022","3.536","3.527","3.540","3.507","0.68%"
"Dec 20, 2022","3.512","3.522","3.538","3.492","2.24%"
"Dec 19, 2022","3.435","3.398","3.435","3.392","0.17%"
"Dec 16, 2022","3.429","3.400","3.451","3.399","9.48%"
"Dec 15, 2022","3.132","3.145","3.160","3.100","-1.20%"
"Dec 14, 2022","3.170","3.115","3.182","3.098","2.19%"
"Dec 13, 2022","3.102","3.165","3.166","3.100","1.08%"
"Dec 12, 2022","3.069","3.131","3.131","3.061","0.72%"
"Dec 09, 2022","3.047","3.046","3.053","3.022","2.32%"
"Dec 08, 2022","2.978","2.975","2.985","2.947","-0.77%"
"Dec 07, 2022","3.001","2.961","3.004","2.950","0.44%"
"Dec 06, 2022","2.988","3.013","3.015","2.982","-1.03%"
"Dec 05, 2022","3.019","3.058","3.070","2.999","2.79%"
"Dec 02, 2022","2.937","2.980","2.982","2.937","-2.33%"
"Dec 01, 2022","3.007","3.073","3.076","3.002","-3.81%"
"Nov 30, 2022","3.126","3.089","3.181","3.067","1.69%"
"Nov 29, 2022","3.074","3.089","3.119","3.067","-3.73%"
"Nov 28, 2022","3.193","3.099","3.222","3.099","3.50%"
"Nov 25, 2022","3.085","3.041","3.099","3.021","3.28%"
"Nov 24, 2022","2.987","3.053","3.063","2.966","-5.98%"
"Nov 23, 2022","3.177","3.205","3.213","3.157","-0.31%"
"Nov 22, 2022","3.187","3.190","3.195","3.162","-0.96%"
"Nov 21, 2022","3.218","3.219","3.248","3.201","-1.50%"
"Nov 18, 2022","3.267","3.254","3.308","3.241","1.81%"
"Nov 17, 2022","3.209","3.201","3.229","3.187","-4.29%"
"Nov 16, 2022","3.353","3.389","3.425","3.349","-1.64%"
"Nov 15, 2022","3.409","3.474","3.494","3.397","-1.50%"
"Nov 14, 2022","3.461","3.509","3.509","3.426","0.70%"
"Nov 11, 2022","3.437","3.397","3.451","3.364","-2.05%"
"Nov 10, 2022","3.509","3.520","3.560","3.507","-2.28%"
"Nov 09, 2022","3.591","3.601","3.630","3.584","-3.16%"
"Nov 08, 2022","3.708","3.740","3.752","3.683","1.06%"
"Nov 07, 2022","3.669","3.721","3.740","3.655","-1.11%"
"Nov 04, 2022","3.710","3.610","3.710","3.610","1.62%"
"Nov 03, 2022","3.651","3.659","3.665","3.614","2.35%"
"Nov 02, 2022","3.567","3.522","3.569","3.519","2.60%"
"Nov 01, 2022","3.477","3.458","3.497","3.372","0.00%"
"Oct 31, 2022","3.477","3.408","3.493","3.405","0.49%"
"Oct 28, 2022","3.460","3.385","3.491","3.363","-2.78%"
"Oct 27, 2022","3.559","3.553","3.579","3.545","0.08%"
"Oct 26, 2022","3.556","3.510","3.597","3.509","-0.50%"
"Oct 25, 2022","3.574","3.576","3.612","3.569","-1.65%"
"Oct 24, 2022","3.634","3.648","3.747","3.632","-2.63%"
"Oct 21, 2022","3.732","3.675","3.760","3.675","2.81%"
"Oct 20, 2022","3.630","3.682","3.694","3.599","0.61%"
"Oct 19, 2022","3.608","3.557","3.613","3.550","1.58%"
"Oct 18, 2022","3.552","3.558","3.608","3.530","1.69%"
"Oct 17, 2022","3.493","3.515","3.537","3.461","0.72%"
"Oct 14, 2022","3.468","3.457","3.473","3.408","-1.45%"
"Oct 13, 2022","3.519","3.541","3.582","3.519","-2.25%"
"Oct 12, 2022","3.600","3.554","3.627","3.536","1.04%"
"Oct 11, 2022","3.563","3.533","3.595","3.519","3.52%"
"Oct 10, 2022","3.442","3.422","3.460","3.399","1.29%"
"Oct 07, 2022","3.398","3.375","3.415","3.365","3.57%"
"Oct 06, 2022","3.281","3.272","3.289","3.239","5.30%"
"Oct 05, 2022","3.116","3.131","3.175","3.116","3.18%"
"Oct 04, 2022","3.020","3.037","3.045","2.978","-7.22%"
"Oct 03, 2022","3.255","3.335","3.378","3.255","-1.54%"
"Sep 30, 2022","3.306","3.354","3.383","3.288","-4.78%"
"Sep 29, 2022","3.472","3.472","3.511","3.450","-0.80%"
"Sep 28, 2022","3.500","3.486","3.559","3.390","7.36%"
"Sep 27, 2022","3.260","3.294","3.328","3.259","-1.15%"
"Sep 26, 2022","3.298","3.227","3.311","3.224","2.30%"
"Sep 23, 2022","3.224","3.076","3.247","3.056","5.95%"
"Sep 22, 2022","3.043","3.050","3.050","2.966","-0.43%"
"Sep 21, 2022","3.056","3.031","3.071","3.007","-1.26%"
"Sep 20, 2022","3.095","2.914","3.105","2.914","6.69%"
"Sep 19, 2022","2.901","2.845","2.902","2.843","1.61%"
"Sep 16, 2022","2.855","2.850","2.875","2.828","1.46%"
"Sep 15, 2022","2.814","2.828","2.858","2.811","-1.12%"
"Sep 14, 2022","2.846","2.831","2.846","2.789","4.13%"
"Sep 13, 2022","2.733","2.759","2.770","2.731","-0.69%"
"Sep 12, 2022","2.752","2.826","2.838","2.749","-1.47%"
"Sep 09, 2022","2.793","2.850","2.872","2.765","5.16%"
"Sep 08, 2022","2.656","2.640","2.671","2.640","0.49%"
"Sep 07, 2022","2.643","2.705","2.711","2.635","-0.11%"
"Sep 06, 2022","2.646","2.698","2.710","2.593","-2.00%"
"Sep 05, 2022","2.700","2.678","2.710","2.675","-0.11%"
"Sep 02, 2022","2.703","2.693","2.722","2.693","0.48%"
"Sep 01, 2022","2.690","2.707","2.749","2.686","1.62%"
"Aug 31, 2022","2.647","2.606","2.696","2.603","2.92%"
"Aug 30, 2022","2.572","2.619","2.625","2.560","-1.53%"
"Aug 29, 2022","2.612","2.632","2.665","2.611","6.96%"
"Aug 26, 2022","2.442","2.433","2.458","2.431","1.03%"
"Aug 25, 2022","2.417","2.439","2.439","2.405","-1.47%"
"Aug 24, 2022","2.453","2.453","2.455","2.397","2.68%"
"Aug 23, 2022","2.389","2.376","2.434","2.358","3.60%"
"Aug 22, 2022","2.306","2.259","2.313","2.248","1.14%"
"Aug 19, 2022","2.280","2.158","2.281","2.125","6.00%"
"Aug 18, 2022","2.151","2.158","2.186","2.143","-0.46%"
"Aug 17, 2022","2.161","2.051","2.161","2.049","9.47%"
"Aug 16, 2022","1.974","1.958","1.987","1.956","2.28%"
"Aug 15, 2022","1.930","1.989","2.017","1.895","-5.35%"
"Aug 12, 2022","2.039","2.052","2.075","2.024","4.14%"
"Aug 11, 2022","1.958","1.955","1.967","1.941","-0.61%"
"Aug 10, 2022","1.970","1.961","1.971","1.933","-0.10%"
"Aug 09, 2022","1.972","1.925","1.982","1.925","1.86%"
"Aug 08, 2022","1.936","1.936","1.948","1.915","3.09%"
"Aug 05, 2022","1.878","1.852","1.886","1.847","-0.27%"
"Aug 04, 2022","1.883","1.922","1.946","1.877","-2.84%"
"Aug 03, 2022","1.938","1.956","1.971","1.920","8.15%"
"Aug 02, 2022","1.792","1.778","1.803","1.759","-4.63%"
"Aug 01, 2022","1.879","1.895","1.938","1.878","-4.57%"
"Jul 29, 2022","1.969","1.910","1.982","1.910","-3.67%"
"Jul 28, 2022","2.044","2.071","2.072","2.028","0.29%"
"Jul 27, 2022","2.038","2.061","2.061","2.021","0.69%"
"Jul 26, 2022","2.024","2.070","2.082","2.013","-5.60%"
"Jul 25, 2022","2.144","2.109","2.174","2.106","1.08%"
"Jul 22, 2022","2.121","2.206","2.206","2.118","-10.43%"
"Jul 21, 2022","2.368","2.367","2.404","2.341","4.36%"
"Jul 20, 2022","2.269","2.340","2.342","2.241","-1.56%"
"Jul 19, 2022","2.305","2.284","2.345","2.284","0.22%"
"Jul 18, 2022","2.300","2.294","2.332","2.270","3.14%"
"Jul 15, 2022","2.230","2.169","2.248","2.166","-1.41%"
"Jul 14, 2022","2.262","2.243","2.295","2.243","5.16%"
"Jul 13, 2022","2.151","2.150","2.177","2.134","0.89%"
"Jul 12, 2022","2.132","2.188","2.188","2.098","-5.91%"
"Jul 11, 2022","2.266","2.271","2.289","2.253","0.62%"
"Jul 08, 2022","2.252","2.266","2.272","2.243","-1.44%"
"Jul 07, 2022","2.285","2.259","2.310","2.253","3.77%"
"Jul 06, 2022","2.202","2.238","2.240","2.196","-5.05%"
"Jul 05, 2022","2.319","2.352","2.364","2.268","-0.34%"
"Jul 04, 2022","2.327","2.267","2.344","2.243","0.91%"
"Jul 01, 2022","2.306","2.347","2.416","2.301","-4.00%"
"Jun 30, 2022","2.402","2.428","2.446","2.393","-6.94%"
"Jun 29, 2022","2.581","2.563","2.622","2.557","-2.71%"
"Jun 28, 2022","2.653","2.617","2.672","2.608","3.84%"
"Jun 27, 2022","2.555","2.510","2.573","2.470","2.00%"
"Jun 24, 2022","2.505","2.401","2.505","2.386","0.52%"
"Jun 23, 2022","2.492","2.565","2.565","2.454","-7.26%"
"Jun 22, 2022","2.687","2.741","2.744","2.683","-4.21%"
"Jun 21, 2022","2.805","2.767","2.812","2.744","4.00%"
"Jun 20, 2022","2.697","2.700","2.719","2.650","0.48%"
"Jun 17, 2022","2.684","2.735","2.737","2.616","-6.02%"
"Jun 16, 2022","2.856","2.702","2.898","2.702","4.92%"
"Jun 15, 2022","2.722","2.806","2.845","2.716","-1.80%"
"Jun 14, 2022","2.772","2.684","2.775","2.684","3.55%"
"Jun 13, 2022","2.677","2.626","2.681","2.589","9.49%"
"Jun 10, 2022","2.445","2.450","2.462","2.425","4.94%"
"Jun 09, 2022","2.330","2.323","2.341","2.310","-0.09%"
"Jun 08, 2022","2.332","2.304","2.337","2.299","0.65%"
"Jun 07, 2022","2.317","2.344","2.351","2.301","0.78%"
"Jun 06, 2022","2.299","2.306","2.334","2.292","-0.48%"
"Jun 03, 2022","2.310","2.268","2.320","2.265","3.26%"
"Jun 02, 2022","2.237","2.242","2.269","2.227","2.71%"
"Jun 01, 2022","2.178","2.200","2.210","2.161","2.16%"
"May 31, 2022","2.132","2.086","2.142","2.076","1.86%"
"May 30, 2022","2.093","2.072","2.122","2.072","4.65%"
"May 27, 2022","2.000","2.045","2.060","1.995","-1.77%"
"May 26, 2022","2.036","2.000","2.036","1.944","2.31%"
"May 25, 2022","1.990","2.055","2.055","1.988","-4.37%"
"May 24, 2022","2.081","2.094","2.108","2.056","0.43%"
"May 23, 2022","2.072","2.029","2.080","2.004","1.27%"
"May 20, 2022","2.046","2.043","2.057","2.021","1.59%"
"May 19, 2022","2.014","2.038","2.038","1.980","-5.53%"
"May 18, 2022","2.132","2.110","2.138","2.088","2.30%"
"May 17, 2022","2.084","2.083","2.106","2.050","0.19%"
"May 16, 2022","2.080","2.047","2.097","2.047","4.26%"
"May 13, 2022","1.995","1.985","2.017","1.972","1.01%"
"May 12, 2022","1.975","1.984","1.999","1.952","-5.14%"
"May 11, 2022","2.082","2.100","2.108","2.059","-3.39%"
"May 10, 2022","2.155","2.201","2.219","2.153","-5.36%"
"May 09, 2022","2.277","2.242","2.286","2.222","5.91%"
"May 06, 2022","2.150","2.092","2.163","2.090","7.77%"
"May 05, 2022","1.995","2.028","2.067","1.988","-1.72%"
"May 04, 2022","2.030","2.057","2.073","2.021","1.10%"
"May 03, 2022","2.008","2.040","2.063","2.001","2.63%"
"May 02, 2022","1.957","1.919","1.967","1.898","0.03%"
"Apr 29, 2022","1.956","1.901","1.974","1.901","6.02%"
"Apr 28, 2022","1.845","1.797","1.863","1.797","4.00%"
"Apr 27, 2022","1.774","1.791","1.817","1.758","-4.21%"
"Apr 26, 2022","1.852","1.868","1.881","1.840","-2.88%"
"Apr 25, 2022","1.907","1.845","1.923","1.845","0.79%"
"Apr 22, 2022","1.892","1.907","1.917","1.882","2.33%"
"Apr 21, 2022","1.849","1.848","1.888","1.845","2.32%"
"Apr 20, 2022","1.807","1.853","1.853","1.799","-3.83%"
"Apr 19, 2022","1.879","1.826","1.888","1.822","5.98%"
"Apr 14, 2022","1.773","1.739","1.792","1.724","0.45%"
"Apr 13, 2022","1.765","1.816","1.837","1.763","-1.78%"
"Apr 12, 2022","1.797","1.810","1.839","1.791","2.74%"
"Apr 11, 2022","1.749","1.744","1.764","1.727","2.22%"
"Apr 08, 2022","1.711","1.672","1.721","1.672","4.39%"
"Apr 07, 2022","1.639","1.629","1.645","1.599","-1.27%"
"Apr 06, 2022","1.660","1.634","1.675","1.632","6.62%"
"Apr 05, 2022","1.557","1.534","1.562","1.512","8.35%"
"Apr 04, 2022","1.437","1.500","1.504","1.437","-4.58%"
"Apr 01, 2022","1.506","1.517","1.532","1.480","1.89%"
"Mar 31, 2022","1.478","1.499","1.527","1.470","-6.10%"
"Mar 30, 2022","1.574","1.528","1.576","1.503","2.01%"
"Mar 29, 2022","1.543","1.489","1.549","1.478","6.19%"
"Mar 28, 2022","1.453","1.463","1.491","1.446","6.29%"
"Mar 25, 2022","1.367","1.392","1.394","1.366","-2.77%"
"Mar 24, 2022","1.406","1.355","1.429","1.355","0.86%"
"Mar 23, 2022","1.394","1.408","1.411","1.376","-1.90%"
"Mar 22, 2022","1.421","1.456","1.463","1.411","0.21%"
"Mar 21, 2022","1.418","1.404","1.427","1.396","-1.05%"
"Mar 18, 2022","1.433","1.486","1.488","1.421","-3.50%"
"Mar 17, 2022","1.485","1.488","1.495","1.453","0.34%"
"Mar 16, 2022","1.480","1.493","1.503","1.473","0.34%"
"Mar 15, 2022","1.475","1.439","1.494","1.431","5.66%"
"Mar 14, 2022","1.396","1.373","1.407","1.342","4.80%"
"Mar 11, 2022","1.332","1.261","1.339","1.250","16.84%"
"Mar 10, 2022","1.140","1.113","1.143","1.086","7.04%"
"Mar 09, 2022","1.065","0.989","1.086","0.987","10.82%"
"Mar 08, 2022","0.961","0.939","0.970","0.920","8.59%"
"Mar 07, 2022","0.885","0.827","0.888","0.816","8.99%"
"Mar 04, 2022","0.812","0.815","0.831","0.799","-5.14%"
"Mar 03, 2022","0.856","0.837","0.869","0.824","9.32%"
"Mar 02, 2022","0.783","0.725","0.785","0.723","1.29%"
"Mar 01, 2022","0.773","0.891","0.896","0.754","-21.36%"
"Feb 28, 2022","0.983","0.951","1.005","0.951","0.31%"
"Feb 25, 2022","0.980","0.960","0.983","0.934","3.16%"
"Feb 24, 2022","0.950","0.977","0.980","0.925","-8.12%"
"Feb 23, 2022","1.034","1.021","1.035","1.016","3.50%"
"Feb 22, 2022","0.999","0.967","1.003","0.964","3.10%"
"Feb 21, 2022","0.969","0.993","0.995","0.957","0.00%"
"Feb 18, 2022","0.969","0.974","0.979","0.953","-2.32%"
"Feb 17, 2022","0.992","1.003","1.016","0.987","-3.97%"
"Feb 16, 2022","1.033","0.930","1.033","0.929","12.28%"
"Feb 15, 2022","0.920","0.911","0.925","0.891","10.98%"
"Feb 14, 2022","0.829","0.824","0.843","0.802","-3.15%"
"Feb 11, 2022","0.856","0.859","0.875","0.852","7.67%"
"Feb 10, 2022","0.795","0.805","0.814","0.791","2.45%"
"Feb 09, 2022","0.776","0.777","0.784","0.757","0.00%"
"Feb 08, 2022","0.776","0.736","0.788","0.706","-1.83%"
"Feb 07, 2022","0.791","0.759","0.796","0.747","11.88%"
"Feb 04, 2022","0.707","0.577","0.734","0.545","20.24%"
"Feb 03, 2022","0.588","0.577","0.591","0.545","4.44%"
"Feb 02, 2022","0.563","0.537","0.576","0.537","8.27%"
"Feb 01, 2022","0.520","0.543","0.547","0.516","-2.26%"
"Jan 31, 2022","0.532","0.477","0.532","0.477","5.14%"
"Jan 28, 2022","0.506","0.473","0.511","0.469","6.75%"
"Jan 27, 2022","0.474","0.489","0.506","0.466","6.76%"
"Jan 26, 2022","0.444","0.442","0.451","0.434","5.97%"
"Jan 25, 2022","0.419","0.417","0.437","0.416","2.95%"
"Jan 24, 2022","0.407","0.411","0.417","0.393","-4.91%"
"Jan 21, 2022","0.428","0.434","0.444","0.419","-6.35%"
"Jan 20, 2022","0.457","0.466","0.466","0.441","3.16%"
"Jan 19, 2022","0.443","0.450","0.451","0.436","9.38%"
"Jan 18, 2022","0.405","0.408","0.422","0.396","8.00%"
"Jan 17, 2022","0.375","0.370","0.383","0.368","9.65%"
"Jan 14, 2022","0.342","0.320","0.344","0.317","0.29%"
"Jan 13, 2022","0.341","0.353","0.360","0.341","-6.06%"
"Jan 12, 2022","0.363","0.392","0.402","0.354","-12.95%"
"Jan 11, 2022","0.417","0.421","0.444","0.384","-3.02%"
"Jan 10, 2022","0.430","0.438","0.462","0.406","9.41%"
"Jan 07, 2022","0.393","0.430","0.433","0.389","-3.68%"
"Jan 06, 2022","0.408","0.411","0.419","0.393","4.88%"
"Jan 05, 2022","0.389","0.411","0.417","0.385","-9.11%"
