"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","3.509","3.447","3.526","3.418","2.15%"
"Feb 14, 2023","3.434","3.366","3.455","3.337","1.31%"
"Feb 13, 2023","3.390","3.414","3.431","3.370","-0.35%"
"Feb 10, 2023","3.402","3.374","3.407","3.357","2.19%"
"Feb 09, 2023","3.329","3.344","3.352","3.276","-1.83%"
"Feb 08, 2023","3.391","3.358","3.410","3.355","0.89%"
"Feb 07, 2023","3.361","3.313","3.361","3.305","1.60%"
"Feb 06, 2023","3.308","3.247","3.313","3.242","4.95%"
"Feb 03, 2023","3.152","3.079","3.192","3.068","3.62%"
"Feb 02, 2023","3.042","3.284","3.296","3.016","-8.98%"
"Feb 01, 2023","3.342","3.310","3.353","3.287","0.48%"
"Jan 31, 2023","3.326","3.303","3.362","3.291","-0.95%"
"Jan 30, 2023","3.358","3.223","3.363","3.223","2.35%"
"Jan 27, 2023","3.281","3.241","3.304","3.239","1.86%"
"Jan 26, 2023","3.221","3.141","3.222","3.128","2.29%"
"Jan 25, 2023","3.149","3.124","3.162","3.070","0.74%"
"Jan 24, 2023","3.126","3.189","3.207","3.124","-2.31%"
"Jan 23, 2023","3.200","3.194","3.217","3.148","1.23%"
"Jan 20, 2023","3.161","3.044","3.163","3.036","4.77%"
"Jan 19, 2023","3.017","2.994","3.072","2.954","1.89%"
"Jan 18, 2023","2.961","3.049","3.075","2.911","-3.24%"
"Jan 17, 2023","3.060","3.185","3.198","3.039","-3.26%"
"Jan 16, 2023","3.163","3.151","3.213","3.148","-0.09%"
"Jan 13, 2023","3.166","3.129","3.168","3.077","0.44%"
"Jan 12, 2023","3.152","3.163","3.180","3.068","-1.59%"
"Jan 11, 2023","3.203","3.286","3.287","3.194","-3.93%"
"Jan 10, 2023","3.334","3.312","3.338","3.300","2.08%"
"Jan 09, 2023","3.266","3.318","3.351","3.258","-0.21%"
"Jan 06, 2023","3.273","3.349","3.394","3.248","-3.17%"
"Jan 05, 2023","3.380","3.346","3.396","3.315","2.36%"
"Jan 04, 2023","3.302","3.352","3.364","3.296","-4.51%"
"Jan 03, 2023","3.458","3.543","3.558","3.410","-1.79%"
"Jan 02, 2023","3.521","3.626","3.631","3.505","-3.72%"
"Dec 30, 2022","3.657","3.531","3.659","3.531","3.63%"
"Dec 29, 2022","3.529","3.564","3.593","3.523","-1.37%"
"Dec 28, 2022","3.578","3.567","3.596","3.519","0.03%"
"Dec 27, 2022","3.577","3.506","3.592","3.506","3.43%"
"Dec 26, 2022","3.458","3.458","3.458","3.458","-0.30%"
"Dec 23, 2022","3.469","3.435","3.490","3.429","1.02%"
"Dec 22, 2022","3.434","3.390","3.459","3.360","1.27%"
"Dec 21, 2022","3.391","3.394","3.400","3.346","-0.50%"
"Dec 20, 2022","3.408","3.389","3.412","3.357","3.46%"
"Dec 19, 2022","3.294","3.276","3.319","3.255","1.60%"
"Dec 16, 2022","3.242","3.261","3.326","3.242","2.89%"
"Dec 15, 2022","3.151","3.011","3.193","2.954","6.09%"
"Dec 14, 2022","2.970","2.918","3.028","2.918","1.16%"
"Dec 13, 2022","2.936","2.972","3.009","2.854","-1.31%"
"Dec 12, 2022","2.975","2.943","2.975","2.903","0.88%"
"Dec 09, 2022","2.949","2.772","2.966","2.755","4.28%"
"Dec 08, 2022","2.828","2.772","2.844","2.755","2.09%"
"Dec 07, 2022","2.770","2.751","2.828","2.742","-1.14%"
"Dec 06, 2022","2.802","2.888","2.895","2.798","-2.71%"
"Dec 05, 2022","2.880","2.878","2.901","2.828","0.88%"
"Dec 02, 2022","2.855","2.819","2.881","2.764","1.24%"
"Dec 01, 2022","2.820","2.864","2.890","2.807","-4.37%"
"Nov 30, 2022","2.949","2.963","2.980","2.925","1.27%"
