"Date","Price","Open","High","Low","Change %"
"Feb 13, 2023","2.424","2.413","2.437","2.375","0.71%"
"Feb 10, 2023","2.407","2.373","2.426","2.364","5.85%"
"Feb 09, 2023","2.274","2.063","2.278","2.046","9.27%"
"Feb 08, 2023","2.081","2.053","2.081","2.006","3.74%"
"Feb 07, 2023","2.006","2.039","2.082","2.006","0.65%"
"Feb 06, 2023","1.993","1.995","2.057","1.993","1.42%"
"Feb 03, 2023","1.965","1.880","1.975","1.880","3.53%"
"Feb 02, 2023","1.898","2.039","2.041","1.870","-9.01%"
"Feb 01, 2023","2.086","2.081","2.092","2.065","-1.46%"
"Jan 31, 2023","2.117","2.123","2.130","2.103","-0.05%"
"Jan 30, 2023","2.118","2.110","2.148","2.093","0.19%"
"Jan 27, 2023","2.114","2.103","2.127","2.090","3.53%"
"Jan 26, 2023","2.042","2.030","2.045","2.000","2.10%"
"Jan 25, 2023","2.000","2.036","2.045","1.975","-4.21%"
"Jan 24, 2023","2.088","2.075","2.093","2.054","-0.19%"
"Jan 23, 2023","2.092","2.066","2.092","2.024","3.31%"
"Jan 20, 2023","2.025","1.976","2.026","1.976","3.95%"
"Jan 19, 2023","1.948","1.895","1.974","1.895","4.62%"
"Jan 18, 2023","1.862","1.924","1.971","1.862","-3.32%"
"Jan 17, 2023","1.926","2.015","2.015","1.926","-4.18%"
"Jan 16, 2023","2.010","1.954","2.013","1.954","5.13%"
"Jan 13, 2023","1.912","1.950","1.973","1.903","-0.57%"
"Jan 12, 2023","1.923","1.933","1.940","1.885","-2.29%"
"Jan 11, 2023","1.968","2.065","2.065","1.968","-6.42%"
"Jan 10, 2023","2.103","2.148","2.148","2.090","-5.78%"
"Jan 09, 2023","2.232","2.232","2.232","2.232","0.00%"
"Jan 05, 2023","2.232","2.201","2.244","2.174","1.69%"
"Jan 04, 2023","2.195","2.235","2.238","2.195","-4.48%"
"Jan 03, 2023","2.298","2.405","2.405","2.285","-3.00%"
"Jan 02, 2023","2.369","2.420","2.433","2.355","-3.54%"
"Dec 30, 2022","2.456","2.369","2.456","2.369","1.82%"
"Dec 29, 2022","2.412","2.406","2.422","2.398","0.04%"
"Dec 28, 2022","2.411","2.444","2.444","2.385","-0.82%"
"Dec 27, 2022","2.431","2.390","2.433","2.390","6.16%"
"Dec 23, 2022","2.290","2.303","2.335","2.290","1.42%"
"Dec 22, 2022","2.258","2.165","2.258","2.162","4.06%"
"Dec 21, 2022","2.170","2.127","2.170","2.104","2.75%"
"Dec 20, 2022","2.112","2.078","2.117","2.066","3.78%"
"Dec 19, 2022","2.035","2.014","2.036","1.979","0.64%"
"Dec 16, 2022","2.022","1.902","2.029","1.902","7.55%"
"Dec 15, 2022","1.880","1.757","1.893","1.710","8.11%"
"Dec 14, 2022","1.739","1.675","1.769","1.675","3.33%"
"Dec 13, 2022","1.683","1.730","1.749","1.665","-1.00%"
"Dec 12, 2022","1.700","1.706","1.723","1.660","-0.58%"
"Dec 09, 2022","1.710","1.705","1.723","1.646","0.94%"
"Dec 08, 2022","1.694","1.680","1.708","1.651","1.26%"
"Dec 07, 2022","1.673","1.670","1.691","1.642","-0.83%"
"Dec 06, 2022","1.687","1.788","1.788","1.685","-4.80%"
"Dec 05, 2022","1.772","1.772","1.783","1.734","0.85%"
"Dec 02, 2022","1.757","1.726","1.759","1.654","1.91%"
"Dec 01, 2022","1.724","1.770","1.783","1.698","-7.21%"
"Nov 30, 2022","1.858","1.865","1.896","1.830","1.47%"
"Nov 29, 2022","1.831","1.844","1.844","1.776","-3.78%"
"Nov 28, 2022","1.903","1.870","1.928","1.848","0.05%"
"Nov 25, 2022","1.902","1.840","1.904","1.808","5.26%"
"Nov 24, 2022","1.807","1.885","1.885","1.764","-4.59%"
"Nov 23, 2022","1.894","1.941","1.960","1.892","-1.97%"
"Nov 22, 2022","1.932","1.950","1.964","1.917","-0.57%"
"Nov 21, 2022","1.943","1.980","1.997","1.931","-1.47%"
"Nov 18, 2022","1.972","1.995","2.050","1.968","-0.80%"
"Nov 17, 2022","1.988","1.969","2.021","1.934","0.30%"
"Nov 16, 2022","1.982","2.058","2.066","1.970","-1.88%"
"Nov 15, 2022","2.020","2.079","2.082","2.006","-0.83%"
