"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","3.5070","3.5490","3.5490","3.4275","-0.76%"
"Feb 14, 2023","3.5340","3.4290","3.5610","3.3975","2.61%"
"Feb 13, 2023","3.4440","3.4250","3.4725","3.4185","0.55%"
"Feb 12, 2023","3.4250","3.4250","3.4250","3.4250","0.32%"
"Feb 11, 2023","3.4140","3.4230","3.4230","3.4140","0.35%"
"Feb 10, 2023","3.4020","3.3400","3.4090","3.3270","3.37%"
"Feb 09, 2023","3.2910","3.2710","3.3130","3.2260","-0.69%"
"Feb 08, 2023","3.3140","3.2990","3.3540","3.2830","-0.06%"
"Feb 07, 2023","3.3160","3.2520","3.3390","3.2300","2.22%"
"Feb 06, 2023","3.2440","3.1120","3.2700","3.0940","5.05%"
"Feb 05, 2023","3.0880","3.0880","3.0880","3.0880","0.77%"
"Feb 04, 2023","3.0645","3.0645","3.0645","3.0645","0.44%"
"Feb 03, 2023","3.0510","3.0140","3.1080","2.9960","1.77%"
"Feb 02, 2023","2.9980","3.2470","3.2680","2.9960","-9.34%"
"Feb 01, 2023","3.3070","3.3130","3.3460","3.2780","-0.81%"
"Jan 31, 2023","3.3340","3.2940","3.3680","3.2790","-0.15%"
"Jan 30, 2023","3.3390","3.3170","3.3920","3.3140","-0.39%"
"Jan 29, 2023","3.3520","3.3465","3.3520","3.3465","0.03%"
"Jan 28, 2023","3.3510","3.3510","3.3510","3.3465","0.78%"
"Jan 27, 2023","3.3250","3.3230","3.3790","3.3170","0.33%"
"Jan 26, 2023","3.3140","3.2210","3.3290","3.2190","2.16%"
"Jan 25, 2023","3.2440","3.3240","3.3680","3.1770","-1.07%"
"Jan 24, 2023","3.2790","3.3240","3.3680","3.2760","-2.35%"
"Jan 23, 2023","3.3580","3.3730","3.4050","3.3230","-0.40%"
"Jan 22, 2023","3.3715","3.3715","3.3715","3.3715","-0.50%"
"Jan 21, 2023","3.3885","3.3885","3.3885","3.3885","0.34%"
"Jan 20, 2023","3.3770","3.3190","3.3850","3.2870","2.83%"
"Jan 19, 2023","3.2840","3.3110","3.3600","3.2280","-1.02%"
"Jan 18, 2023","3.3180","3.3020","3.3900","3.2200","-0.21%"
"Jan 17, 2023","3.3250","3.4170","3.4670","3.3150","-1.74%"
"Jan 16, 2023","3.3840","3.3670","3.4330","3.3550","0.33%"
"Jan 15, 2023","3.3730","3.3730","3.3730","3.3730","-0.71%"
"Jan 14, 2023","3.3970","3.3970","3.3970","3.3970","0.86%"
"Jan 13, 2023","3.3680","3.3230","3.3820","3.2650","1.05%"
"Jan 12, 2023","3.3330","3.3780","3.3970","3.2820","-2.26%"
"Jan 11, 2023","3.4100","3.5120","3.5120","3.3650","-4.29%"
"Jan 10, 2023","3.5630","3.5610","3.6000","3.5450","0.85%"
"Jan 09, 2023","3.5330","3.4900","3.5470","3.4900","1.67%"
"Jan 06, 2023","3.4750","3.5380","3.5890","3.4570","-2.17%"
"Jan 05, 2023","3.5520","3.5160","3.5750","3.4860","1.69%"
"Jan 04, 2023","3.4930","3.5710","3.6000","3.4840","-4.38%"
"Jan 03, 2023","3.6530","3.6220","3.6710","3.5370","-1.24%"
"Jan 02, 2023","3.6990","3.6990","3.6990","3.6990","0.82%"
"Dec 30, 2022","3.6690","3.6760","3.7240","3.6570","0.22%"
"Dec 29, 2022","3.6610","3.6430","3.7170","3.6340","0.16%"
"Dec 28, 2022","3.6550","3.7070","3.7610","3.6540","-0.34%"
"Dec 27, 2022","3.6675","3.6525","3.6675","3.6525","0.42%"
"Dec 26, 2022","3.6520","3.6710","3.6710","3.6520","-0.52%"
"Dec 25, 2022","3.6710","3.6710","3.6710","3.6710","0.00%"
"Dec 24, 2022","3.6710","3.6710","3.6710","3.6710","1.05%"
"Dec 23, 2022","3.6330","3.5940","3.6620","3.5770","1.11%"
"Dec 22, 2022","3.5930","3.5610","3.6510","3.5380","0.53%"
"Dec 21, 2022","3.5740","3.5960","3.6210","3.5470","-0.64%"
"Dec 20, 2022","3.5970","3.5810","3.6600","3.5260","2.71%"
"Dec 19, 2022","3.5020","3.3620","3.5050","3.3500","3.59%"
"Dec 18, 2022","3.3805","3.3805","3.3805","3.3805","1.52%"
"Dec 16, 2022","3.3300","3.2960","3.4110","3.2870","2.78%"
"Dec 15, 2022","3.2400","3.3190","3.3230","3.1990","-2.20%"
"Dec 14, 2022","3.3130","3.2620","3.3500","3.2480","0.49%"
"Dec 13, 2022","3.2970","3.1980","3.2980","3.1810","3.10%"
"Dec 12, 2022","3.1980","3.1610","3.2270","3.0960","0.47%"
"Dec 09, 2022","3.1830","3.1100","3.1840","3.0930","2.81%"
"Dec 08, 2022","3.0960","3.0430","3.1170","3.0260","1.64%"
"Dec 07, 2022","3.0460","3.0570","3.1200","3.0390","-1.14%"
"Dec 06, 2022","3.0810","3.1070","3.1250","3.0370","-0.64%"
"Dec 05, 2022","3.1010","3.1280","3.1470","3.0640","-1.46%"
"Dec 02, 2022","3.1470","3.0860","3.1770","3.0070","1.52%"
"Dec 01, 2022","3.1000","3.0840","3.1310","3.0580","-1.99%"
"Nov 30, 2022","3.1630","3.1310","3.1920","3.1030","2.00%"
"Nov 29, 2022","3.1010","3.0910","3.1540","3.0530","-0.77%"
"Nov 28, 2022","3.1250","3.0950","3.1620","3.0550","0.26%"
"Nov 25, 2022","3.1170","3.0740","3.1330","3.0420","2.70%"
"Nov 24, 2022","3.0350","2.9480","3.0410","2.8990","0.83%"
"Nov 23, 2022","3.0100","3.1480","3.1520","2.9850","-3.80%"
"Nov 22, 2022","3.1290","3.2010","3.2320","3.1260","-1.94%"
"Nov 21, 2022","3.1910","3.2410","3.2820","3.1550","-1.45%"
"Nov 18, 2022","3.2380","3.1900","3.3010","3.1900","1.28%"
